"","UF","Estacao","Year","EvapoBHReal","InsolacaoTotal","PrecipitacaoTotal","PressaoMedia","TempMaximaMedia","TempMinimaMedia"
"1","RR",82024,2000,NA,139.725,161.125,NA,32.8564249,23.6165918333333
"2","RR",82042,2000,NA,178.075,193.583333333333,NA,32.95303275,22.12779925
"3","AM",82067,2000,NA,123.475,335.275,998.951111,32.5052438333333,21.494777
"4","AP",82098,2000,NA,189.981818181818,225.15,NA,31.2905386666667,24.1049990833333
"5","AM",82106,2000,NA,132.883333333333,277.541666666667,1003.4275,32.4265396666667,21.7289235
"6","AM",82113,2000,NA,151.383333333333,200.741666666667,NA,31.8412130833333,22.9026059166667
"7","PA",82141,2000,NA,206.15,313.208333333333,1010.41828,30.4646196666667,24.9190985
"8","PA",82145,2000,NA,196.491666666667,232.108333333333,NA,31.5529723333333,21.6877931666667
"9","PA",82178,2000,NA,NA,185.15,NA,31.2527738333333,22.2963721666667
"10","PA",82181,2000,NA,208.225,181.666666666667,NA,30.8778915833333,23.4536093333333
"11","PA",82184,2000,NA,184,226.858333333333,1009.54223,31.8791051666667,23.7648863333333
"12","PA",82188,2000,NA,181.533333333333,240.816666666667,NA,31.9496421666667,22.7481375
"13","PA",82191,2000,NA,192.033333333333,279.341666666667,1009.35,31.9408834166667,22.695192
"14","MA",82198,2000,NA,178.790909090909,199.441666666667,1005.83638,30.88743575,23.67865975
"15","AM",82212,2000,NA,131.008333333333,207.783333333333,1006.71967,31.4620565,22.12491225
"16","AM",82240,2000,NA,160.283333333333,229.2,1009.37,31.92531925,24.143702
"17","PA",82246,2000,NA,167.025,186.633333333333,992.860521333333,30.26758775,22.1728478333333
"18","PA",82263,2000,NA,230.72,268.2,NA,32.7521765,23.77203575
"19","MA",82280,2000,NA,191.275,230.433333333333,1003.12,31.0128936666667,23.47420875
"20","PI",82287,2000,NA,227.077777777778,147.433333333333,NA,31.5468253333333,22.4940634444444
"21","CE",82294,2000,NA,212.6,131.7,NA,31.6607655555556,23.0394577777778
"22","PI",82296,2000,NA,219.463636363636,97.8416666666667,NA,34.1094533333333,21.3794178333333
"23","PI",82298,2000,NA,242.488888888889,177.444444444444,NA,32.4549755555556,21.7107441111111
"24","AM",82317,2000,NA,158.35,229.008333333333,NA,32.204186,22.04857125
