"";"UF";"Year";"EvapoBHReal";"InsolacaoTotal";"PrecipitacaoTotal";"PressaoMedia";"TempMaximaMedia";"TempMinimaMedia";"Safra";"Area";"ProdutAlgCar";"ProdutPluma";"ProdutCarAlg";"RendPluma";"ProducAlgCar";"ProducPluma";"ProducCarAlg"
"1";"AC";2000;NA;132,782352941176;166,358333333333;992,941995458333;31,8204391944444;21,3205729285714;"2000.01";0;0;0;0;0;0;0;0
"2";"AL";2000;NA;208,887272727273;140,671428571429;971,263662310345;29,640940375;21,0093640535714;"2000.01";21;600;200;400;33,3333333333333;12,6;4,2;8,4
"3";"AM";2000;NA;136,929746835443;228,686904761905;1006,4538031;32,1610766309524;22,2035928802395;"2000.01";0;0;0;0;0;0;0;0
"4";"AP";2000;NA;189,981818181818;225,15;NA;31,2905386666667;24,1049990833333;"2000.01";0;0;0;0;0;0;0;0
"5";"BA";2000;NA;207,772115384615;90,3802985074627;959,897344922034;29,6160377940299;19,6294786802508;"2000.01";55;2900;1116,36363636364;1783,63636363636;38,4952978056426;159,5;61,4;98,1
"6";"CE";2000;NA;214,693396226415;111,428181818182;973,462907722222;31,1833173727273;21,7935080454545;"2000.01";29,4;410;136,054421768707;275,510204081633;33,0578512396694;12,1;4;8,1
"7";"DF";2000;NA;207,166666666667;128,054166666667;889,61473675;27,017110875;15,63869675;"2000.01";1,5;3450;1333,33333333333;2133,33333333333;38,4615384615385;5,2;2;3,2
"8";"ES";2000;NA;177,516666666667;151,058333333333;1011,2728225;28,8376760416667;20,7274490833333;"2000.01";0;0;0;0;0;0;0;0
"9";"GO";2000;NA;204,150458715596;140,060606060606;933,178573277778;30,2810254573643;18,3210700909091;"2000.01";97,6;3000;1140,36885245902;1859,63114754098;38,0122950819672;292,8;111,3;181,5
"10";"MA";2000;NA;208,907575757576;147,602857142857;988,746822630769;32,6133889172932;22,3507811714286;"2000.01";2,4;3300;1208,33333333333;2083,33333333333;36,7088607594937;7,9;2,9;5
"11";"MG";2000;NA;205,727821011673;113,107832422587;932,59792293883;28,8854981537037;16,6441468534323;"2000.01";38,6;2060;761,658031088083;1297,9274611399;36,9811320754717;79,5;29,4;50,1
"12";"MS";2000;NA;212,145762711864;124,676666666667;965,605597666667;30,1724558666667;18,6403499827586;"2000.01";50,4;3425;1319,44444444444;2107,14285714286;38,5060799073538;172,7;66,5;106,2
"13";"MT";2000;NA;193,377450980392;117,663076923077;978,250927923077;32,507336266129;19,7628026129032;"2000.01";392;3510;1361,98979591837;2148,21428571429;38,8008720930233;1376;533,9;842,1
"14";"PA";2000;NA;189,430405405405;219,944642857143;995,699535657143;31,8971162142857;23,002306547619;"2000.01";0;0;0;0;0;0;0;0
"15";"PB";2000;NA;217,122033898305;143,606779661017;959,634271823529;29,807961220339;21,0428088135593;"2000.01";8,4;350;119,047619047619;238,095238095238;33,3333333333333;3;1;2
"16";"PE";2000;NA;217,4375;100,644210526316;952,578588013158;29,3448536304348;20,2459633977273;"2000.01";7,3;350;109,58904109589;232,876712328767;32;2,5;0,8;1,7
"17";"PI";2000;NA;234,921374045802;100,684090909091;975,550682375;32,8167805703704;21,3552446592593;"2000.01";8,1;300;98,7654320987654;197,530864197531;33,3333333333333;2,4;0,8;1,6
"18";"PR";2000;NA;167,577333333333;137,607228915663;931,112245902778;25,3576345135135;14,9262769277108;"2000.01";68,4;2385;850,877192982456;1533,62573099415;35,683629675046;163,1;58,2;104,9
"19";"RJ";2000;NA;181,588;94,955;965,809839961539;28,1952816;17,6053785166667;"2000.01";0;0;0;0;0;0;0;0
"20";"RN";2000;NA;228,39;111,614084507042;988,26968375;31,5065317428571;22,2075220142857;"2000.01";19,7;180;60,9137055837563;121,827411167513;33,3333333333333;3,6;1,2;2,4
"21";"RO";2000;NA;NA;NA;NA;NA;NA;"2000.01";2,6;1355;461,538461538461;884,615384615384;34,2857142857143;3,5;1,2;2,3
"22";"RR";2000;NA;158,9;177,354166666667;NA;32,9091200909091;22,8721955416667;"2000.01";0;0;0;0;0;0;0;0
"23";"RS";2000;NA;187,841293532338;146,245794392523;959,628532320313;23,5328062196262;13,5584715169082;"2000.01";0;0;0;0;0;0;0;0
"24";"SC";2000;NA;178,21186440678;164,027118644068;906,880801479167;23,1089431355932;12,8595124915254;"2000.01";0;0;0;0;0;0;0;0
"25";"SE";2000;NA;201,258333333333;115,452777777778;994,065903066667;29,6866279722222;21,49693975;"2000.01";0,3;0;0;0;0;0;0;0
"26";"SP";2000;NA;186,061445783133;125,764122137405;935,315726408333;27,3108189069767;16,8083719416667;"2000.01";65,7;2500;913,24200913242;1587,51902587519;36,5185636031649;164,3;60;104,3
"27";"TO";2000;NA;210,334722222222;156,227777777778;976,974429216667;32,8007595942029;21,1501114444444;"2000.01";0;0;0;0;0;0;0;0
"28";"AC";2001;NA;144,672222222222;165,827777777778;991,522899708333;31,5420242222222;21,5508787777778;"2001.02";0;0;0;0;0;0;0;0
"29";"AL";2001;NA;226,659183673469;93,8132075471698;971,253813321429;30,1979965769231;20,6845975769231;"2001.02";17;530;176,470588235294;352,941176470588;33,3333333333333;9;3;6
"30";"AM";2001;NA;146,484337349398;218,95;1001,44779408333;32,6122916071429;22,6271800059524;"2001.02";0;0;0;0;0;0;0;0
"31";"AP";2001;NA;211,216666666667;176,15;1008,549355;31,7007079166667;23,9652253333333;"2001.02";0;0;0;0;0;0;0;0
"32";"BA";2001;NA;217,571913580247;63,8949253731343;962,048302159468;30,2771144820359;19,7863622228916;"2001.02";70,2;2520;970,08547008547;1549,85754985755;38,496325607688;176,9;68,1;108,8
"33";"CE";2001;NA;216,374468085106;68,985;972,784911891304;32,5767480933333;22,67548512;"2001.02";20,3;800;266,009852216749;532,019704433498;33,3333333333333;16,2;5,4;10,8
"34";"DF";2001;NA;208,95;101,920833333333;890,311984583333;26,971772;15,8415136666667;"2001.02";1,6;3525;1375;2125;39,2857142857143;5,6;2,2;3,4
"35";"ES";2001;NA;218,725;110,068421052632;1012,337535;29,8650133684211;21,5745884736842;"2001.02";0;0;0;0;0;0;0;0
"36";"GO";2001;NA;209,963392857143;124,360305343511;934,373991222222;30,3727434396552;18,2269050873016;"2001.02";91,7;2910;1105,77971646674;1803,70774263904;38,0059970014993;266,8;101,4;165,4
"37";"MA";2001;NA;205,217391304348;134,333333333333;990,459629084507;32,9606480070423;22,4640684027778;"2001.02";3,1;2700;1000;1709,67741935484;36,9047619047619;8,4;3,1;5,3
"38";"MG";2001;NA;213,267735849057;91,6243006993007;933,25643186514;29,3205719294533;16,7847217235915;"2001.02";37,8;2195;812,169312169312;1383,59788359788;36,9879518072289;83;30,7;52,3
"39";"MS";2001;NA;211,239655172414;119,113333333333;967,013475361702;30,6380997166667;18,8410916833333;"2001.02";45,4;3570;1374,44933920705;2196,03524229075;38,4947563232572;162,1;62,4;99,7
"40";"MT";2001;NA;193,189898989899;129,087692307692;983,828037226191;32,7670311359223;19,9191645238095;"2001.02";312,8;3225;1250,95907928389;1974,10485933504;38,7886597938144;1008,8;391,3;617,5
"41";"PA";2001;NA;194,233540372671;183,664880952381;996,766880854167;32,2278735575758;23,1794905868263;"2001.02";0;0;0;0;0;0;0;0
"42";"PB";2001;NA;238,965625;68,4130434782609;960,823030689655;31,1035226904762;21,3143479285714;"2001.02";10,2;850;284,313725490196;568,627450980392;33,3333333333333;8,7;2,9;5,8
"43";"PE";2001;NA;232,634782608696;67,7905263157895;948,4245015;30,0543054;20,1087860957447;"2001.02";8;530;175;350;33,3333333333333;4,2;1,4;2,8
"44";"PI";2001;NA;235,595;72,9134615384615;976,565913967213;33,8090955714286;21,8431571836735;"2001.02";8,9;330;112,359550561798;213,483146067416;34,4827586206897;2,9;1;1,9
"45";"PR";2001;NA;NA;110,903125;928,531803678571;27,5621289166667;16,825257;"2001.02";37,6;2310;824,468085106383;1486,70212765957;35,6731875719218;86,9;31;55,9
"46";"RJ";2001;NA;216,179166666667;67,8114285714286;969,625581391304;29,9014622142857;19,1960339285714;"2001.02";0;0;0;0;0;0;0;0
"47";"RN";2001;NA;246,42;54,6620689655172;989,019861125;32,5003908113208;22,2511311132075;"2001.02";19,7;595;197,969543147208;395,939086294416;33,3333333333333;11,7;3,9;7,8
"48";"RO";2001;NA;NA;NA;NA;NA;NA;"2001.02";0;0;0;0;0;0;0;0
"49";"RR";2001;NA;190,345833333333;123,804166666667;999,17;33,3998540952381;23,033820375;"2001.02";0;0;0;0;0;0;0;0
"50";"RS";2001;NA;NA;91,2152777777778;959,168116227273;26,5678592083333;15,9538882083333;"2001.02";0;0;0;0;0;0;0;0
"51";"SC";2001;NA;NA;105,903571428571;916,925774666667;26,0100181111111;15,5187415;"2001.02";0;0;0;0;0;0;0;0
"52";"SE";2001;NA;214,194444444444;100,838888888889;995,282176333333;29,9437208055556;21,6716300277778;"2001.02";0;0;0;0;0;0;0;0
"53";"SP";2001;NA;195,272043010753;112,057037037037;936,692097075;27,7098973834586;17,2280458455285;"2001.02";63,1;2520;920,760697305864;1599,04912836767;36,5408805031447;159;58,1;100,9
"54";"TO";2001;NA;194,636111111111;136,061111111111;977,491002237288;32,949056;21,2234228472222;"2001.02";0,3;3000;1000;2000;33,3333333333333;0,9;0,3;0,6
"55";"AC";2002;NA;143,831428571429;179,25;990,687668083333;31,4332405294118;21,7556480555556;"2002.03";0;0;0;0;0;0;0;0
"56";"AL";2002;NA;205,640740740741;106,183333333333;974,167315866667;29,9777568813559;20,6910588135593;"2002.03";14,6;490;164,383561643836;328,767123287671;33,3333333333333;7,2;2,4;4,8
"57";"AM";2002;NA;154,549382716049;233,055952380952;999,627568541667;32,807427369697;22,9729667590361;"2002.03";0;0;0;0;0;0;0;0
"58";"AP";2002;NA;209,658333333333;207,341666666667;NA;32,0711585833333;23,7476055833333;"2002.03";0;0;0;0;0;0;0;0
"59";"BA";2002;NA;217,888990825688;74,697619047619;961,103020520408;30,3020885179641;19,7215529667674;"2002.03";86,3;3300;1319,81460023175;1980,30127462341;39,9929775280899;284,8;113,9;170,9
"60";"CE";2002;NA;243,750980392157;79,4607142857143;966,499824360465;31,9662239076923;21,9194826461538;"2002.03";14;865;285,714285714286;578,571428571429;33,0578512396694;12,1;4;8,1
"61";"DF";2002;NA;219,041666666667;106,016666666667;890,434291041667;27,6481805416667;16,4179842916667;"2002.03";2;3900;1500;2400;38,4615384615385;7,8;3;4,8
"62";"ES";2002;NA;190;107,125;1011,54932333333;29,8150668333333;21,537926625;"2002.03";0;0;0;0;0;0;0;0
"63";"GO";2002;NA;217,795145631068;106,468939393939;934,095739369369;31,2225658484848;19,0303167461538;"2002.03";95,4;3150;1197,06498951782;1952,83018867925;38,0033277870216;300,5;114,2;186,3
"64";"MA";2002;NA;215,244927536232;131,29375;992,09417616092;33,091717125;22,8348634965035;"2002.03";3,3;3450;1303,0303030303;2151,51515151515;37,719298245614;11,4;4,3;7,1
"65";"MG";2002;NA;212,878587196468;97,7802867383513;933,69084319;29,660386410609;17,4570348120155;"2002.03";35,2;2430;911,931818181818;1517,04545454545;37,5438596491228;85,5;32,1;53,4
"66";"MS";2002;NA;218,595454545455;75,8214285714286;966,473223673913;31,5088480754717;19,8384234285714;"2002.03";43,6;3720;1431,19266055046;2288,99082568807;38,4710234278668;162,2;62,4;99,8
"67";"MT";2002;NA;207,682857142857;113,576515151515;983,263034072917;33,4869529612403;20,13303765625;"2002.03";300,3;3570;1373,95937395937;2196,1371961372;38,4852159313497;1072,1;412,6;659,5
"68";"PA";2002;NA;199,372289156626;175,982142857143;998,151388164179;32,4724153293413;23,2826611437126;"2002.03";0;0;0;0;0;0;0;0
"69";"PB";2002;NA;237,546666666667;95,3277777777778;966,448406333333;30,5911339444444;21,2739056111111;"2002.03";12,3;1000;333,333333333333;666,666666666667;33,3333333333333;12,3;4,1;8,2
"70";"PE";2002;NA;225,901123595506;78,4635416666667;948,837392714286;29,7699791182796;20,1758299263158;"2002.03";6,2;500;161,290322580645;338,709677419355;32,258064516129;3,1;1;2,1
"71";"PI";2002;NA;261,225454545455;61,82;981,296457616279;34,174120328;22,0798122177419;"2002.03";9,8;460;153,061224489796;306,122448979592;33,3333333333333;4,5;1,5;3
"72";"PR";2002;NA;173,323958333333;135,836458333333;931,269850202381;26,9461824479167;15,9774641684211;"2002.03";29,3;2370;836,17747440273;1532,42320819113;35,3025936599424;69,4;24,5;44,9
"73";"RJ";2002;NA;197,057894736842;86,6826923076923;970,100267724138;29,22648565625;18,928658421875;"2002.03";0;0;0;0;0;0;0;0
"74";"RN";2002;NA;245,774647887324;84,2785714285714;990,05829484;32,36865325;22,810666037037;"2002.03";20,5;590;195,121951219512;395,121951219512;33,0578512396694;12,1;4;8,1
"75";"RO";2002;NA;NA;NA;NA;NA;NA;"2002.03";0;0;0;0;0;0;0;0
"76";"RR";2002;NA;181,588235294118;151,654166666667;NA;33,8185754583333;23,558766375;"2002.03";0;0;0;0;0;0;0;0
"77";"RS";2002;NA;165,759134615385;190,475462962963;959,660850515385;23,9721403033175;14,6161378199052;"2002.03";0;0;0;0;0;0;0;0
"78";"SC";2002;NA;151,411111111111;156,645238095238;906,366352020833;24,5540466829268;14,8914738292683;"2002.03";0;0;0;0;0;0;0;0
"79";"SE";2002;NA;201,519444444444;85,9888888888889;994,977082466667;30,2046052121212;21,989733;"2002.03";0;0;0;0;0;0;0;0
"80";"SP";2002;NA;199,256481481481;113,177777777778;937,2288511;28,594079027972;17,3288615467626;"2002.03";59,9;2700;1026,71118530885;1672,78797996661;38,0333951762523;161,7;61,5;100,2
"81";"TO";2002;NA;212,592647058824;134,218055555556;977,540419602941;33,2022728181818;21,5121861527778;"2002.03";2,4;2340;833,333333333333;1500;35,7142857142857;5,6;2;3,6
"82";"AC";2003;116,596794541667;143,091666666667;176,036111111111;990,142593166667;31,5824538055556;21,4601189444444;"2003.04";0;0;0;0;0;0;0;0
"83";"AL";2003;86,2915033559322;220,661403508772;70,7396551724138;969,857967583333;30,775533;21,2597769122807;"2003.04";9,5;430;136,842105263158;294,736842105263;31,7073170731707;4,1;1,3;2,8
"84";"AM";2003;136,765992763636;157,201290322581;208,234545454545;1002,19365316667;32,8894181779141;23,2084337625;"2003.04";0;0;0;0;0;0;0;0
"85";"AP";2003;136,087637;214,3;160,108333333333;1011,00390666667;32,0579475;23,8107079166667;"2003.04";0;0;0;0;0;0;0;0
"86";"BA";2003;76,3049576428571;219,302605863192;58,5421052631579;961,246393628159;30,63119169279;19,8674617619048;"2003.04";197,5;3420;1343,79746835443;2076,45569620253;39,2894152479645;675,5;265,4;410,1
"87";"CE";2003;94,6029469255319;238,268571428571;92,0163120567376;968,026697877778;32,4395444071429;22,0586055142857;"2003.04";16,8;795;261,904761904762;535,714285714286;32,8358208955224;13,4;4,4;9
"88";"DF";2003;78,9530362857143;204,3625;99,2625;890,748838625;27,2905829166667;16,0239017083333;"2003.04";3,6;2700;1027,77777777778;1666,66666666667;38,1443298969072;9,7;3,7;6
"89";"ES";2003;72,73987175;197,586956521739;87,8625;1013,09;30,1041605416667;21,3170280416667;"2003.04";0;0;0;0;0;0;0;0
"90";"GO";2003;75,2124330941176;208,7;120,795454545455;933,968476183333;30,6239888333333;18,5304708244275;"2003.04";135,6;3285;1247,78761061947;2036,87315634218;37,9883251010328;445,4;169,2;276,2
"91";"MA";2003;110,389901589474;214,3875;130,452083333333;991,354097826087;33,1078379791667;22,8894817202797;"2003.04";6,9;3220;1202,89855072464;2014,49275362319;37,3873873873874;22,2;8,3;13,9
"92";"MG";2003;70,7574803318486;208,789452332657;95,8365079365079;933,593994329049;29,56443760746;16,9696414251825;"2003.04";49,3;2585;969,574036511156;1614,60446247465;37,519623233909;127,4;47,8;79,6
"93";"MS";2003;92,2921922857143;208,868965517241;125,657446808511;967,025999536585;30,3477906153846;19,0679318863636;"2003.04";54,5;3525;1357,79816513761;2166,97247706422;38,5216033315981;192,1;74;118,1
"94";"MT";2003;92,3898355679012;187,957608695652;149,733333333333;984,076006058824;32,6506335267857;20,2009141465517;"2003.04";438,4;3615;1398,95072992701;2216,01277372263;38,6988894497728;1584,8;613,3;971,5
"95";"PA";2003;127,740185209091;194,393209876543;176,593529411765;998,234605587302;32,3671850710059;23,3848913293413;"2003.04";0;0;0;0;0;0;0;0
"96";"PB";2003;96,5324178085106;233,426086956522;84,9125;965,822454693548;30,9633701408451;20,960969943662;"2003.04";24,6;900;296,747967479675;601,626016260162;33,0316742081448;22,1;7,3;14,8
"97";"PE";2003;74,4745255;239,061290322581;60,8147368421053;951,455935880952;30,360377688172;20,5050693010753;"2003.04";4,7;500;170,212765957447;340,425531914894;33,3333333333333;2,4;0,8;1,6
"98";"PI";2003;89,0224949724771;249,985256410256;82,9224358974359;980,847726870588;34,180157801282;22,1860741538462;"2003.04";13,2;735;242,424242424242;492,424242424242;32,9896907216495;9,7;3,2;6,5
"99";"PR";2003;84,704234984127;185,138043478261;133,239784946237;932,949861703704;26,5221033295455;15,0808587934783;"2003.04";46,1;1995;704,989154013015;1290,67245119306;35,3260869565217;92;32,5;59,5
"100";"RJ";2003;80,8209639574468;185,936170212766;105,054166666667;968,622258551724;28,9493069305556;18,5039357916667;"2003.04";0;0;0;0;0;0;0;0
"101";"RN";2003;96,7162977118644;249,153012048193;66,325;991,078030057692;32,9035659277108;23,1489768554217;"2003.04";23;570;186,95652173913;382,608695652174;32,824427480916;13,1;4,3;8,8
"102";"RO";2003;NA;NA;NA;NA;NA;NA;"2003.04";0;0;0;0;0;0;0;0
"103";"RR";2003;116,960464375;190,463636363636;156,673913043478;NA;33,9513070434783;23,030242;"2003.04";0;0;0;0;0;0;0;0
"104";"RS";2003;74,7100622647059;190,433177570093;146,585648148148;960,106773832061;23,970137337963;13,7368228472222;"2003.04";0;0;0;0;0;0;0;0
"105";"SC";2003;78,258384625;175,563855421687;126,627710843373;911,08926384;24,1985389518072;13,9798466962025;"2003.04";0;0;0;0;0;0;0;0
"106";"SE";2003;108,719144333333;214,405555555556;92,5361111111111;997,145592411765;30,3047383611111;22,4727176666667;"2003.04";0;0;0;0;0;0;0;0
"107";"SP";2003;75,9794678470588;198,178571428571;106,50071942446;929,933858621622;27,7690478188406;17,0172522204724;"2003.04";72,5;2520;958,620689655172;1561,37931034483;38,0405035577449;182,7;69,5;113,2
"108";"TO";2003;94,4114559545455;199,174242424242;127,584722222222;978,037133222222;33,1640109;21,5060048676471;"2003.04";3,8;3150;1157,89473684211;2000;36,6666666666667;12;4,4;7,6
"109";"AC";2004;NA;129,094285714286;193,619444444444;989,971067625;31,1478021111111;21,6754881111111;"2004.05";0;0;0;0;0;0;0;0
"110";"AL";2004;90,78535725;209,356140350877;116,825862068966;974,906392655172;30,1638966842105;21,0016;"2004.05";8,1;370;122,1;247,9;33;3;0,98901;2,00799
"111";"AM";2004;NA;149,389285714286;191,475163398693;999,978961;32,7554435410959;22,956698972028;"2004.05";0;0;0;0;0;0;0;0
"112";"AP";2004;NA;217,683333333333;225,108333333333;1009,43666666667;31,9466689166667;23,8583738333333;"2004.05";0;0;0;0;0;0;0;0
"113";"BA";2004;NA;203,84501607717;80,2297619047619;961,042956351724;29,9063275348101;19,4281731322581;"2004.05";247;3300;1283,7;2016,3;38,9;782,1;317,0739;498,0261
"114";"CE";2004;NA;227,233571428571;103,265957446809;968,486234554348;31,9187835571429;21,8689068928571;"2004.05";10,2;630;207,9;422,1;33;6,4;2,12058;4,30542
