"","UF","Year","ProducAlgCar","ProducCarAlg","ProduCafe","ProduCana","ProduMilho","ProduSoja","ProduTrigo"
"1","AC",2000,0,0,NA,NA,45.6,0,0
"2","AL",2000,12.6,8.4,NA,NA,116.9,0,0
"3","AM",2000,0,0,NA,NA,15.8,0,0
"4","AP",2000,0,0,NA,NA,1.4,0,0
"5","BA",2000,159.5,98.1,NA,NA,1013.1,1450.3,0
"6","CE",2000,12.1,8.1,NA,NA,245.1,0,0
"7","DF",2000,5.2,3.2,NA,NA,135.6,73.5,2.3
"8","ES",2000,0,0,NA,NA,129,0,0
"9","GO",2000,292.8,181.5,NA,NA,4080.4,4158,7.4
"10","MA",2000,7.9,5,NA,NA,310,483,0
"11","MG",2000,79.5,50.1,NA,NA,4227.8,1495.9,22.6
"12","MS",2000,172.7,106.2,NA,NA,2174.7,3129.6,75.3
"13","MT",2000,1376,842.1,NA,NA,1843.6,9640.8,0
"14","PA",2000,0,0,NA,NA,510.1,1.5,0
"15","PB",2000,3,2,NA,NA,8.4,0,0
"16","PE",2000,2.5,1.7,NA,NA,43.2,0,0
"17","PI",2000,2.4,1.6,NA,NA,144.6,142.6,0
"18","PR",2000,163.1,104.9,NA,NA,12374.9,8623.1,575.1
"19","RJ",2000,0,0,NA,NA,28.1,0,0
"20","RN",2000,3.6,2.4,NA,NA,8,0,0
"21","RO",2000,3.5,2.3,NA,NA,206.3,76.5,0
"22","RR",2000,0,0,NA,NA,16.5,0,0
"23","RS",2000,0,0,NA,NA,6237,7113.2,891.2
"24","SC",2000,0,0,NA,NA,3947.1,527.2,57.4
"25","SE",2000,0,0,NA,NA,99,0,0
"26","SP",2000,164.3,104.3,NA,NA,4207,1378,27.1
"27","TO",2000,0,0,NA,NA,120.5,138.6,0
"28","AC",2001,0,0,NA,NA,51.2,0,0
"29","AL",2001,9,6,NA,NA,37.8,0,0
"30","AM",2001,0,0,NA,NA,14.7,2.8,0
"31","AP",2001,0,0,NA,NA,1.5,0,0
"32","BA",2001,176.9,108.8,22.907949790795,NA,715,1464,0
"33","CE",2001,16.2,10.8,NA,NA,622.6,0,0
"34","DF",2001,5.6,3.4,NA,NA,148.1,101.4,2.3
"35","ES",2001,0,0,14.7769753195154,NA,138.1,0,0
"36","GO",2001,266.8,165.4,0,NA,3394.7,5420.4,10.1
"37","MA",2001,8.4,5.3,NA,NA,324.5,569.5,0
"38","MG",2001,83,52.3,16.4852429581416,NA,4787.7,1948.5,21.2
"39","MS",2001,162.1,99.7,NA,NA,1345.6,3278.6,103.2
"40","MT",2001,1008.8,617.5,9.18635170603675,NA,2199.8,11733,0
"41","PA",2001,0,0,12.8865979381443,NA,451,7.3,0
"42","PB",2001,8.7,5.8,NA,NA,74.4,0,0
"43","PE",2001,4.2,2.8,NA,NA,78.7,0,0
"44","PI",2001,2.9,1.9,NA,NA,83.7,91.1,0
"45","PR",2001,86.9,55.9,4.22866092404072,NA,9363.2,9502.3,1912.5
"46","RJ",2001,0,0,15.3846153846154,NA,26.9,0,0
"47","RN",2001,11.7,7.8,NA,NA,69.6,0,0
