"";"UF";"Year";"EvapoBHReal";"InsolacaoTotal";"PrecipitacaoTotal";"PressaoMedia";"TempMaximaMedia";"TempMinimaMedia";"Safra";"Area";"AreaFormacao";"Produtividade"
"1";"AC";2000;NA;132,782352941176;166,358333333333;992,941995458333;31,8204391944444;21,3205729285714;NA;NA;NA;NA
"2";"AL";2000;NA;208,887272727273;140,671428571429;971,263662310345;29,640940375;21,0093640535714;NA;NA;NA;NA
"3";"AM";2000;NA;136,929746835443;228,686904761905;1006,4538031;32,1610766309524;22,2035928802395;NA;NA;NA;NA
"4";"AP";2000;NA;189,981818181818;225,15;NA;31,2905386666667;24,1049990833333;NA;NA;NA;NA
"5";"BA";2000;NA;207,772115384615;90,3802985074627;959,897344922034;29,6160377940299;19,6294786802508;NA;NA;NA;NA
"6";"CE";2000;NA;214,693396226415;111,428181818182;973,462907722222;31,1833173727273;21,7935080454545;NA;NA;NA;NA
"7";"DF";2000;NA;207,166666666667;128,054166666667;889,61473675;27,017110875;15,63869675;NA;NA;NA;NA
"8";"ES";2000;NA;177,516666666667;151,058333333333;1011,2728225;28,8376760416667;20,7274490833333;NA;NA;NA;NA
"9";"GO";2000;NA;204,150458715596;140,060606060606;933,178573277778;30,2810254573643;18,3210700909091;NA;NA;NA;NA
"10";"MA";2000;NA;208,907575757576;147,602857142857;988,746822630769;32,6133889172932;22,3507811714286;NA;NA;NA;NA
"11";"MG";2000;NA;205,727821011673;113,107832422587;932,59792293883;28,8854981537037;16,6441468534323;NA;NA;NA;NA
"12";"MS";2000;NA;212,145762711864;124,676666666667;965,605597666667;30,1724558666667;18,6403499827586;NA;NA;NA;NA
"13";"MT";2000;NA;193,377450980392;117,663076923077;978,250927923077;32,507336266129;19,7628026129032;NA;NA;NA;NA
"14";"PA";2000;NA;189,430405405405;219,944642857143;995,699535657143;31,8971162142857;23,002306547619;NA;NA;NA;NA
"15";"PB";2000;NA;217,122033898305;143,606779661017;959,634271823529;29,807961220339;21,0428088135593;NA;NA;NA;NA
