"";"UF";"Year";"EvapoBHReal";"InsolacaoTotal";"PrecipitacaoTotal";"PressaoMedia";"TempMaximaMedia";"TempMinimaMedia";"Safra";"Area";"Produtividade";"Producao"
"1";"AC";2000;NA;132,782352941176;166,358333333333;992,941995458333;31,8204391944444;21,3205729285714;"2000.01";30;1520;45,6
"2";"AL";2000;NA;208,887272727273;140,671428571429;971,263662310345;29,640940375;21,0093640535714;"2000.01";77,9;1501;116,9
"3";"AM";2000;NA;136,929746835443;228,686904761905;1006,4538031;32,1610766309524;22,2035928802395;"2000.01";10,5;1505;15,8
"4";"AP";2000;NA;189,981818181818;225,15;NA;31,2905386666667;24,1049990833333;"2000.01";1,8;778;1,4
"5";"BA";2000;NA;207,772115384615;90,3802985074627;959,897344922034;29,6160377940299;19,6294786802508;"2000.01";705,5;1436;1013,1
"6";"CE";2000;NA;214,693396226415;111,428181818182;973,462907722222;31,1833173727273;21,7935080454545;"2000.01";612,8;400;245,1
"7";"DF";2000;NA;207,166666666667;128,054166666667;889,61473675;27,017110875;15,63869675;"2000.01";33,7;4024;135,6
"8";"ES";2000;NA;177,516666666667;151,058333333333;1011,2728225;28,8376760416667;20,7274490833333;"2000.01";46,9;2751;129
"9";"GO";2000;NA;204,150458715596;140,060606060606;933,178573277778;30,2810254573643;18,3210700909091;"2000.01";906,1;4503;4080,4
"10";"MA";2000;NA;208,907575757576;147,602857142857;988,746822630769;32,6133889172932;22,3507811714286;"2000.01";322,9;960;310
"11";"MG";2000;NA;205,727821011673;113,107832422587;932,59792293883;28,8854981537037;16,6441468534323;"2000.01";1246,4;3392;4227,8
"12";"MS";2000;NA;212,145762711864;124,676666666667;965,605597666667;30,1724558666667;18,6403499827586;"2000.01";545,9;3984;2174,7
"13";"MT";2000;NA;193,377450980392;117,663076923077;978,250927923077;32,507336266129;19,7628026129032;"2000.01";542,9;3396;1843,6
"14";"PA";2000;NA;189,430405405405;219,944642857143;995,699535657143;31,8971162142857;23,002306547619;"2000.01";318,8;1600;510,1
"15";"PB";2000;NA;217,122033898305;143,606779661017;959,634271823529;29,807961220339;21,0428088135593;"2000.01";140,1;60;8,4
"16";"PE";2000;NA;217,4375;100,644210526316;952,578588013158;29,3448536304348;20,2459633977273;"2000.01";270;160;43,2
"17";"PI";2000;NA;234,921374045802;100,684090909091;975,550682375;32,8167805703704;21,3552446592593;"2000.01";278;520;144,6
"18";"PR";2000;NA;167,577333333333;137,607228915663;931,112245902778;25,3576345135135;14,9262769277108;"2000.01";2797;4424;12374,9
"19";"RJ";2000;NA;181,588;94,955;965,809839961539;28,1952816;17,6053785166667;"2000.01";14,4;1951;28,1
"20";"RN";2000;NA;228,39;111,614084507042;988,26968375;31,5065317428571;22,2075220142857;"2000.01";83;96;8
"21";"RO";2000;NA;NA;NA;NA;NA;NA;"2000.01";125;1650;206,3
"22";"RR";2000;NA;158,9;177,354166666667;NA;32,9091200909091;22,8721955416667;"2000.01";11;1500;16,5
"23";"RS";2000;NA;187,841293532338;146,245794392523;959,628532320313;23,5328062196262;13,5584715169082;"2000.01";1663,2;3750;6237
"24";"SC";2000;NA;178,21186440678;164,027118644068;906,880801479167;23,1089431355932;12,8595124915254;"2000.01";893;4420;3947,1
"25";"SE";2000;NA;201,258333333333;115,452777777778;994,065903066667;29,6866279722222;21,49693975;"2000.01";90;1100;99
"26";"SP";2000;NA;186,061445783133;125,764122137405;935,315726408333;27,3108189069767;16,8083719416667;"2000.01";1144,2;3677;4207
"27";"TO";2000;NA;210,334722222222;156,227777777778;976,974429216667;32,8007595942029;21,1501114444444;"2000.01";61,5;1959;120,5
"28";"AC";2001;NA;144,672222222222;165,827777777778;991,522899708333;31,5420242222222;21,5508787777778;"2001.02";33;1552;51,2
