"","Estacao","Data","Hora","EvapoBHReal","InsolacaoTotal","PrecipitacaoTotal","PressaoMedia","TempMaximaMedia","TempMinimaMedia","X"
"1",82294,"31/01/2000",0,"","191.6","97.5","","31.374194","23.309677",NA
"2",82294,"29/02/2000",0,"","158.9","111.2","","30.803448","23.431034",NA
"3",82294,"31/03/2000",0,"","167.3","188.8","","30.825806","23.370968",NA
"4",82294,"30/04/2000",0,"","144.2","530.4","","30.65","23.173333",NA
"5",82294,"31/05/2000",0,"","203.9","80.1","","31.806452","23.280645",NA
"6",82294,"30/06/2000",0,"","248.7","87","","31.946667","22.316667",NA
"7",82294,"31/07/2000",0,"","255.5","56","","32.151613","22.603226",NA
"8",82294,"31/08/2000",0,"","273.3","10.4","","32.83871","22.312903",NA
"9",82294,"30/09/2000",0,"","270","23.9","","32.55","23.556667",NA
"10",82294,"31/03/2001",0,"","138.2","135.5","","31.419355","23.493548",NA
"11",82294,"30/09/2001",0,"","","0","","","",NA
"12",82294,"31/10/2001",0,"","299.6","0.3","","33.293548","23.406452",NA
"13",82294,"30/11/2001",0,"","","0","","33.33","24.27931",NA
"14",82294,"31/12/2001",0,"","","9.7","","33.992857","24.528571",NA
"15",82294,"31/01/2002",0,"","","149.6","1010.02967","31.353333","23.574194",NA
"16",82294,"28/02/2002",0,"","","44.3","","32.314815","23.311538",NA
"17",82294,"31/03/2002",0,"","","292.4","","31.325806","23.406667",NA
"18",82294,"30/04/2002",0,"","134.7","248.5","","30.775","23.510345",NA
"19",82294,"31/05/2002",0,"","213.2","148.2","","31.551613","23.354839",NA
"20",82294,"30/06/2002",0,"","213.3","72","1012.23","31.856667","22.843333",NA
"21",82294,"31/07/2002",0,"","","0","","","",NA
"22",82294,"31/08/2002",0,"","298.8","6.1","","33.413333","22.774194",NA
"23",82294,"30/09/2002",0,"","287.7","0.9","","33.026667","22.98",NA
"24",82294,"31/10/2002",0,"","302.5","0.3","","33.419355","24.048387",NA
"25",82294,"30/11/2002",0,"","306.1","2.1","","33.246667","23.693333",NA
"26",82294,"31/12/2002",0,"","264.6","2","","33.235484","24.066667",NA
"27",82294,"31/01/2003",0,"146.946032","233.3","111.8","","31.983871","22.051613",NA
"28",82294,"28/02/2003",0,"128.757918","88.4","323.3","","30.2","23.332143",NA
"29",82294,"31/03/2003",0,"141.615478","120.8","544.9","","30.483871","23.29",NA
"30",82294,"30/04/2003",0,"137.709315","138.8","194.5","","30.996667","23.433333",NA
"31",82294,"31/05/2003",0,"142.720927","207.8","108.6","","31.9","23.267742",NA
"32",82294,"30/06/2003",0,"114.279073","247.2","48.4","","31.583333","22.406667",NA
"33",82294,"31/07/2003",0,"48.4","","","","","",NA
"34",82294,"31/08/2003",0,"9.6","306.4","9.6","","33.125806","22.503226",NA
"35",82294,"30/09/2003",0,"","307.2","0.2","1011.74","33.813333","23.33",NA
"36",82294,"31/10/2003",0,"","302.7","1.6","1010.2","33.732258","24.077419",NA
"37",82294,"30/11/2003",0,"","301.3","0.7","","33.936667","24.113793",NA
"38",82294,"31/12/2003",0,"","285.7","1","","33.758065","24.548387",NA
"39",82294,"31/01/2004",0,"","149.8","457.4","","31.316129","24.070968",NA
"40",82294,"29/02/2004",0,"","163.3","354.6","","30.717241","23.327586",NA
"41",82294,"31/03/2004",0,"","167.7","159.9","","31.641935","23.612903",NA
"42",82294,"30/04/2004",0,"","181.1","138.1","","31.94","23.383333",NA
"43",82294,"31/05/2004",0,"","269.3","49.4","","32.796774","23.109677",NA
"44",82294,"30/06/2004",0,"","232.9","72.6","","31.866667","22.041379",NA
"45",82294,"31/08/2004",0,"","293","0.2","1012.935","33.374194","22.59",NA
"46",82294,"30/09/2004",0,"","307.8","0","1011.24","33.843333","23.523333",NA
"47",82294,"31/10/2004",0,"","322.8","0","","33.73871","23.353333",NA
"48",82294,"30/11/2004",0,"","305.7","0","","33.656667","23.26",NA
"49",82294,"31/12/2004",0,"","279.2","0.2","","33.280645","23.235484",NA
"50",82294,"31/01/2005",0,"","232.4","3","1008.98871","33.216129","23.735484",NA
"51",82294,"28/02/2005",0,"","176.7","61.2","","33.178571","24.342857",NA
"52",82294,"31/03/2005",0,"","188.8","79","","32.729032","24.029032",NA
