"x"
"1" "<html><meta http-equiv=\"Content-Type\" content=\"text/html; charset=iso-8859-1\">
<head>
<title>Estação - 82765</title>
   <!-- FACE BOX -->
   <script src=\"facebox/js/jquery.js\" type=\"text/javascript\"></script>
   <link href=\"facebox/styles/facebox.css\" media=\"screen\" rel=\"stylesheet\" type=\"text/css\" >

   <script src=\"facebox/js/facebox.js\" type=\"text/javascript\"></script>
   <script type=\"text/javascript\">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type=\"text/javascript\">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement(\"A\");
         a_false.rel = \"lightbox\";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : CAROLINA - MA (OMM: 82765)
Latitude  (graus) : -7.33
Longitude (graus) : -47.46
Altitude  (metros): 192.83
Estação Operante
Inicio de operação: 01/01/1913
Periodo solicitado dos dados: 01/01/2000 a 22/04/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF=\"instrucao.html\" TARGET=\"_top\" rel=\"facebox\">siga as instruções</a>
--------------------
Estacao;Data;Hora;EvapoBHReal;InsolacaoTotal;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempMinimaMedia;
82765;31/01/2000;0000;;143.4;334.9;987.887097;31.148387;21.583871;
82765;29/02/2000;0000;;130.2;294.1;989.408046;30.234483;21.927586;
82765;31/03/2000;0000;;165.7;354.2;987.919355;31.070968;22.177419;
82765;30/04/2000;0000;;177.6;139.6;988.965556;31.053333;22.143333;
82765;31/05/2000;0000;;280.2;69.1;989.352688;32.532258;21.529032;
82765;30/06/2000;0000;;292;0;990.286667;33.546667;21.093333;
82765;31/07/2000;0000;;265.2;97.5;989.905376;33.277419;20.406452;
82765;31/08/2000;0000;;296.7;31.5;989.774194;34.993548;21.364516;
82765;30/09/2000;0000;;187.2;59.6;988.64;33.443333;22.223333;
82765;31/10/2000;0000;;191.1;41.7;988.948387;33.764516;22.148387;
82765;30/11/2000;0000;;153;251;987.932222;31.58;22.69;
82765;31/12/2000;0000;;142.7;312.4;989.793548;30.751613;22.935484;
82765;31/01/2001;0000;;171.9;130.2;990.511828;31.709677;22.758065;
82765;28/02/2001;0000;;139.3;300.7;989.788095;31.367857;22.507143;
82765;31/03/2001;0000;;142.7;414.5;990.282796;31.235484;22.593548;
82765;30/04/2001;0000;;174.2;196.9;990.534444;31.95;22.71;
82765;31/05/2001;0000;;238.3;79.4;990.44086;33.480645;23.464516;
82765;30/06/2001;0000;;270.5;3.3;991.845556;34.056667;21.683333;
82765;31/07/2001;0000;;297.8;10.3;991.876344;35.177419;21.2;
82765;31/08/2001;0000;;309.4;0;992.754839;36.112903;21.312903;
82765;30/09/2001;0000;;231;33.5;989.948889;35.853333;24.02;
82765;31/10/2001;0000;;;146;989.703529;;23.804;
82765;30/11/2001;0000;;;113.1;989.168235;32.722222;23.763333;
82765;31/12/2001;0000;;118.7;188.2;988.722581;31.66129;23.367742;
82765;31/01/2002;0000;;131.8;503.3;990.156989;30.916129;23.112903;
82765;28/02/2002;0000;;172.5;340.5;989.911905;32.671429;23.55;
82765;31/03/2002;0000;;151.9;204.7;989.965591;32.358065;23.548387;
82765;30/04/2002;0000;;185.2;85.6;989.542222;33.133333;23.389655;
82765;31/05/2002;0000;;239.1;97;990.475269;33.719355;23.419355;
82765;30/06/2002;0000;;275.9;3.2;992.356667;34.546667;21.636667;
82765;31/07/2002;0000;;299.2;0.5;992.267742;36.225806;22.083871;
82765;31/08/2002;0000;;313.9;0;991.380645;36.841935;22.154839;
82765;30/09/2002;0000;;231.4;49.3;990.376667;35.956667;24.093333;
82765;31/10/2002;0000;;166.2;139.3;989.234409;33.393548;23.629032;
82765;30/11/2002;0000;;172.4;83.3;989.887778;32.98;23.34;
82765;31/12/2002;0000;;120;143.7;990.378495;31.354839;23.516129;
82765;31/01/2003;0000;152.623898;169.3;284.9;990.604301;32.248387;23.467742;
82765;28/02/2003;0000;115.641209;125.3;350.1;990.217857;31.285714;23.3;
82765;31/03/2003;0000;133.292329;121.3;206.2;990.210753;30.9;23.377419;
82765;30/04/2003;0000;143.104686;197.7;152;990.462222;32.33;23.546667;
82765;31/05/2003;0000;151.605965;237.8;215.3;991.069892;32.664516;23.403226;
82765;30/06/2003;0000;117;289.2;17;991.327778;33.763333;21.656667;
82765;31/07/2003;0000;0;322.9;0;992.501075;35.06129;20.180645;
82765;31/08/2003;0000;18.8;261;18.8;991.883871;35.880645;22.122581;
82765;30/09/2003;0000;;238.2;17.1;990.617778;35.783333;23.696667;
82765;31/10/2003;0000;;177.6;96.4;989.290323;34.051613;24.1;
82765;30/11/2003;0000;;148.9;102.7;989.066667;32.536667;23.596667;
82765;31/12/2003;0000;;;288.1;989.496774;31.703226;23.041935;
82765;31/01/2004;0000;;;439.3;989.302151;30.709677;23.503226;
82765;29/02/2004;0000;;116.9;500.1;990.458621;30.82069;23.393103;
82765;31/03/2004;0000;;158;244.3;989.669892;31.964516;23.670968;
82765;30/04/2004;0000;;198.5;156.2;989.934444;32.516667;23.643333;
82765;31/05/2004;0000;;292.8;83.1;990.726882;33.906452;23.574194;
82765;30/06/2004;0000;;281.9;1;993.1;34.046667;21.576667;
82765;31/07/2004;0000;;294.4;1.2;991.910753;34.754839;21.53871;
82765;31/08/2004;0000;;287.7;58.2;992.221505;36.041935;22.296774;
82765;30/09/2004;0000;;241.2;34.2;990.151111;36.203333;23.74;
82765;31/10/2004;0000;;139.7;80.1;989.398925;32.754839;23.596774;
82765;30/11/2004;0000;;161.9;145.1;988.941111;32.993333;23.746667;
82765;31/12/2004;0000;;;261.7;989.326882;31.970968;23.209677;
82765;31/01/2005;0000;;;264.5;988.962366;31.832258;23.719355;
82765;28/02/2005;0000;;126.9;262.1;989.078571;31.482143;23.903571;
82765;31/03/2005;0000;;121.7;571.5;990.336559;31.112903;23.835484;
82765;30/04/2005;0000;;212.3;126.4;990.035556;33.746667;23.88;
82765;31/05/2005;0000;;233.2;92.8;990.645161;32.893548;23.348387;
82765;30/06/2005;0000;;298.9;1;991.67191;34.57931;22.32069;
82765;31/07/2005;0000;;319.7;0;992.978495;35.280645;20.980645;
82765;31/08/2005;0000;;312;0;991.588172;37.03871;22.3;
82765;30/09/2005;0000;;236.5;36.6;990.558889;36.933333;23.783333;
82765;31/10/2005;0000;;169.6;14.1;989.284946;35.487097;24.945161;
82765;30/11/2005;0000;;102.5;111.4;988.445556;32.806667;24.25;
82765;31/12/2005;0000;;136.1;351.4;988.394624;31.977419;23.722581;
82765;31/01/2006;0000;;191.4;146.3;988.749462;32.590323;23.467742;
82765;28/02/2006;0000;;140.6;286.1;989.457143;31.75;23.528571;
82765;31/03/2006;0000;;156;199.7;989.955914;31.858065;23.967742;
82765;30/04/2006;0000;;124;435.4;989.897778;31.58;23.266667;
82765;31/05/2006;0000;;194.9;125.1;991.554839;32.874194;23.567742;
82765;30/06/2006;0000;77.3;293.2;0;992.511111;34;21.203333;
82765;31/07/2006;0000;0;307.4;0;992.66129;35.767742;21.080645;
82765;31/08/2006;0000;2.5;321.5;2.5;991.127957;37.277419;21.558065;
82765;30/09/2006;0000;55.8;266.5;55.8;990.64;37.076667;23.643333;
82765;31/10/2006;0000;147.2;181.4;147.2;989.331183;33.687097;24.064516;
82765;30/11/2006;0000;148.7;177.3;148.7;988.657778;32.686667;23.78;
82765;31/12/2006;0000;151.072414;163.1;154.1;990.08172;31.76129;23.667742;
82765;31/01/2007;0000;126.827586;155.8;123.8;989.513978;32.203226;23.467742;
82765;28/02/2007;0000;117.262315;109.4;530.3;990.3;31.089286;23.267857;
82765;31/03/2007;0000;144.607864;171.3;144.7;989.751613;32.293548;23.554839;
