"x"
"1" "<html><meta http-equiv=\"Content-Type\" content=\"text/html; charset=iso-8859-1\">
<head>
<title>Estação - 83184</title>
   <!-- FACE BOX -->
   <script src=\"facebox/js/jquery.js\" type=\"text/javascript\"></script>
   <link href=\"facebox/styles/facebox.css\" media=\"screen\" rel=\"stylesheet\" type=\"text/css\" >

   <script src=\"facebox/js/facebox.js\" type=\"text/javascript\"></script>
   <script type=\"text/javascript\">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type=\"text/javascript\">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement(\"A\");
         a_false.rel = \"lightbox\";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : MORRO DO CHAPEU - BA (OMM: 83184)
Latitude  (graus) : -11.21
Longitude (graus) : -41.21
Altitude  (metros): 1003.27
Estação Operante
Inicio de operação: 13/01/1913
Periodo solicitado dos dados: 01/01/2000 a 22/04/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF=\"instrucao.html\" TARGET=\"_top\" rel=\"facebox\">siga as instruções</a>
--------------------
Estacao;Data;Hora;EvapoBHReal;InsolacaoTotal;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempMinimaMedia;
83184;31/01/2000;0000;;212.1;165.4;901.265591;26.667742;18.003226;
83184;29/02/2000;0000;;204.9;76.6;902.203448;27.089655;18.22069;
83184;31/03/2000;0000;;203.4;64.1;901.692473;26.558065;18.067742;
83184;30/04/2000;0000;;177.9;109.9;902.745556;25.763333;17.973333;
83184;31/05/2000;0000;;173.9;30.3;903.951613;24.074194;16.883871;
83184;30/06/2000;0000;;140.9;35;905.353333;22.753333;15.566667;
83184;31/07/2000;0000;;211.2;27.9;905.078495;23.490323;14.751613;
83184;31/08/2000;0000;;207.1;17.1;906.052688;24.293548;15.345161;
83184;30/09/2000;0000;;142.7;21.9;904.796667;24.793333;15.763333;
83184;31/10/2000;0000;;247.2;9.7;904.387097;28.093548;16.709677;
83184;30/11/2000;0000;;175.7;252.7;902.005556;26.573333;17.98;
83184;31/12/2000;0000;;168.1;129.2;902.206452;26.119355;18.041935;
83184;31/01/2001;0000;;235.4;29.5;903.796774;26.912903;17.3;
83184;28/02/2001;0000;;230.1;1.4;902.22381;29.289286;17.567857;
83184;31/03/2001;0000;;199;53;903.226882;27.696774;18.177419;
83184;30/04/2001;0000;;192.7;18.2;903.851111;26.823333;17.466667;
83184;31/05/2001;0000;;211.7;25.9;903.829032;27.570968;17.835484;
83184;30/06/2001;0000;;149.2;59.6;905.991111;22.94;15.713333;
83184;31/07/2001;0000;;208.2;28.2;906.529032;23.535484;15.125806;
83184;31/08/2001;0000;;173.8;54.1;908.233333;22.377419;14.516129;
83184;30/09/2001;0000;;209.7;48.8;905.003333;25.6;15.96;
83184;31/10/2001;0000;;207.9;11.2;903.829032;27.73871;17.064516;
