"x"
"1" "<html><meta http-equiv=\"Content-Type\" content=\"text/html; charset=iso-8859-1\">
<head>
<title>Estação - 83286</title>
   <!-- FACE BOX -->
   <script src=\"facebox/js/jquery.js\" type=\"text/javascript\"></script>
   <link href=\"facebox/styles/facebox.css\" media=\"screen\" rel=\"stylesheet\" type=\"text/css\" >

   <script src=\"facebox/js/facebox.js\" type=\"text/javascript\"></script>
   <script type=\"text/javascript\">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type=\"text/javascript\">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement(\"A\");
         a_false.rel = \"lightbox\";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : CORRENTINA - BA (OMM: 83286)
Latitude  (graus) : -13.33
Longitude (graus) : -44.61
Altitude  (metros): 549.47
Estação Operante
Inicio de operação: 11/08/1975
Periodo solicitado dos dados: 01/01/2000 a 22/04/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF=\"instrucao.html\" TARGET=\"_top\" rel=\"facebox\">siga as instruções</a>
--------------------
Estacao;Data;Hora;EvapoBHReal;InsolacaoTotal;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempMinimaMedia;
83286;31/01/2000;0000;;199.4;175.5;943.535484;30.264516;19.483871;
83286;31/03/2000;0000;;240.1;59.5;944.271739;29.970968;19.722581;
83286;30/04/2000;0000;;245.7;16.7;945.463333;30.88;19.046667;
83286;31/05/2000;0000;;294.5;0;946.501075;31.164516;15.116129;
83286;30/06/2000;0000;;287.6;0;947.952222;30.423333;13.323333;
83286;31/07/2000;0000;;262;0.5;947.489247;30.454839;14.645161;
83286;31/08/2000;0000;;306.3;0;947.54086;32.193548;14.645161;
83286;30/09/2000;0000;;265;19.8;946.134444;32.05;18.413333;
83286;31/10/2000;0000;;266.1;28.2;945.291398;34.229032;19.1;
83286;30/11/2000;0000;;162.1;146.4;944.105556;30.363333;20.576667;
83286;31/12/2000;0000;;143.6;406.1;945.349462;29.383871;21.209677;
83286;31/01/2001;0000;;277.6;100.5;946.772043;31.196774;19.43871;
83286;28/02/2001;0000;;234.8;88.1;945.184524;33.321429;20.217857;
83286;31/03/2001;0000;;227.5;179.8;946.331183;30.709677;20.277419;
83286;30/04/2001;0000;;276.8;7.5;946.954444;32.026667;19.523333;
83286;31/05/2001;0000;;258.5;28;947.366667;32.277419;19.125806;
83286;30/06/2001;0000;;274.5;0.2;949.413483;30.54;17.21;
83286;31/07/2001;0000;;289.6;0;949.632258;30.8;16.009677;
83286;31/08/2001;0000;;;0;;;;
83286;30/09/2001;0000;;286;0.9;946.765556;33.87;20.363333;
83286;31/10/2001;0000;;189.2;46.3;945.732258;32.73871;22.409677;
83286;30/11/2001;0000;;165.8;173.8;945.054444;31.39;21.786667;
83286;31/12/2001;0000;;206.8;175.5;944.933333;31.158065;21.345161;
83286;31/01/2002;0000;;191.2;95.9;945.502151;30.332258;21.725806;
83286;28/02/2002;0000;;227;90;946.095238;32.264286;19.753571;
83286;31/03/2002;0000;;258.1;111.7;946.374194;32.529032;21.823333;
83286;30/04/2002;0000;;266.1;39.1;946.006667;32.15;19.31;
83286;31/05/2002;0000;;263.8;8.2;947.233333;32;17.235484;
83286;30/06/2002;0000;;;0;;;;
83286;31/07/2002;0000;;290.8;0;949.715054;31.625806;15.632258;
83286;31/08/2002;0000;;310.9;0;949.570968;31.825806;15.725806;
83286;30/09/2002;0000;;254.4;1.5;947.432222;33.153333;18.69;
83286;31/10/2002;0000;;285.8;4.3;945.051613;35.616129;20.029032;
83286;30/11/2002;0000;;248.8;134.2;945.676667;33.65;19.546667;
83286;31/12/2002;0000;;183.2;298;945.545161;31.983871;19.725806;
83286;31/01/2003;0000;124.633001;162.3;259.6;946.38172;30.603226;19.929032;
83286;28/02/2003;0000;112.478857;233.6;53;947.035714;31.4;19.021429;
83286;31/03/2003;0000;;;0;;;;
83286;30/04/2003;0000;110.910932;264.8;84.2;947.685;31.566667;18.786667;
83286;31/05/2003;0000;87.989068;255.5;14.7;948.974194;31.151613;17.332258;
83286;30/06/2003;0000;0;274.8;0;949.741667;30.906667;13.613333;
83286;31/07/2003;0000;0;286.9;0;951.667742;29.86129;13.070968;
83286;31/08/2003;0000;6.9;242.7;6.9;950.279032;31.454839;16.512903;
83286;30/09/2003;0000;;284.6;10.6;949.061667;33.543333;18.933333;
83286;31/10/2003;0000;;253.7;80.3;946.81129;33.870968;20.277419;
83286;30/11/2003;0000;;206.4;119.9;945.846667;32.473333;20.93;
83286;31/12/2003;0000;;235.8;126.2;945.972581;33.277419;21.46129;
83286;31/01/2004;0000;;141;377.7;945.254839;29.967742;21.148387;
83286;29/02/2004;0000;;163.3;126.1;947.017241;29.862069;20.644828;
83286;31/03/2004;0000;;186.8;297.5;946.966129;29.467742;20.43871;
83286;30/04/2004;0000;;246.6;49.3;947.673333;30.22;19.433333;
83286;31/05/2004;0000;;272.9;0;949.190323;30.477419;19.164516;
83286;30/06/2004;0000;;266.9;0;951.83;29.106667;16.713333;
83286;31/07/2004;0000;;;0;;;;
83286;31/08/2004;0000;;297.6;0;950.896774;31.62;14.68;
83286;30/09/2004;0000;;;0;952.820408;33.412;15.064;
83286;31/10/2004;0000;;275.5;86.3;950.532258;34.306452;19.319355;
83286;30/11/2004;0000;;217.3;74.4;949.966667;32.813333;19.28;
83286;31/12/2004;0000;;243;68.6;950.114516;32.23871;18.764516;
83286;31/01/2005;0000;;188.1;178.5;949.662903;31.435484;19.8;
83286;28/02/2005;0000;;195.2;204;949.894643;30.310714;19.614286;
83286;31/03/2005;0000;;197.6;128.8;951.28871;30.222581;19.919355;
83286;30/04/2005;0000;;255.8;65;951.97;31.223333;18.113333;
83286;31/05/2005;0000;;252;21.1;953.020968;29.725806;15.848387;
83286;30/06/2005;0000;;262.6;0;954.585;29.88;14.083333;
83286;31/08/2005;0000;;305.6;10;954.583607;31.983871;13.654839;
83286;30/09/2005;0000;;258.2;7.2;952.86;33.793333;17.476667;
83286;31/10/2005;0000;;287.3;19.9;950.753226;35.277419;17.922581;
83286;30/11/2005;0000;;178.6;192.9;949.821667;31.973333;20.24;
83286;31/12/2005;0000;;171.8;361.9;949.643548;29.658065;19.206452;
83286;31/01/2006;0000;;288.5;47.1;949.990164;31.887097;18.232258;
83286;28/02/2006;0000;;171.5;136.9;949.633929;32.132143;20.325;
83286;31/03/2006;0000;;187.3;169.7;950.71129;30.670968;19.86129;
83286;30/04/2006;0000;;216.5;62.1;951.191667;30.15;19.206667;
83286;31/05/2006;0000;58.3;247.4;4.8;953.575806;30.025806;16.116129;
83286;30/06/2006;0000;4.3;266.7;4.3;955.55;29.213333;12.8;
83286;31/07/2006;0000;0;278.5;0;955.606452;30.193333;12.787097;
83286;31/08/2006;0000;91.774058;;0;;;;
83286;30/09/2006;0000;115.4;252.8;15.4;953.031667;33.936667;17.636667;
83286;31/10/2006;0000;136.138915;197.5;145;950.946774;33.116129;20.86129;
83286;30/11/2006;0000;111.59021;169.5;175.9;950.308333;30.396667;19.99;
83286;31/12/2006;0000;128.00296;213;104.1;950.909677;31.635484;19.386667;
83286;31/01/2007;0000;134.621641;236.8;119.1;950.575806;32.725806;19.948387;
83286;28/02/2007;0000;99.028975;159.5;213.9;951.117857;29.625;19.835714;
83286;31/03/2007;0000;107.929135;301.5;10.6;951.56129;32.003226;17.809677;
83286;30/04/2007;0000;71.770865;244.8;69.1;951.626667;32.423333;17.976667;
83286;31/05/2007;0000;0;296.8;0;952.616129;33.032258;15.919355;
83286;30/06/2007;0000;0;299.5;0;954.988333;31.286667;13.146667;
83286;31/07/2007;0000;0;278;0;954.587097;31.612903;12.806452;
83286;31/08/2007;0000;;;0;;;;
83286;30/09/2007;0000;0;309.4;0;954.246667;33.193333;16.716667;
83286;31/10/2007;0000;8.8;310.8;34.4;950.741935;35.625806;19.251613;
83286;30/11/2007;0000;41.9;224.9;41.9;948.833333;34.25;21.255172;
83286;31/12/2007;0000;122.290687;236;265.8;949.909677;31.306452;19.770968;
83286;31/01/2008;0000;118.825758;216.6;61.6;949.882258;30.977419;19.409677;
83286;29/02/2008;0000;115.181833;203.4;126.1;949.963793;31.5;20.024138;
83286;31/03/2008;0000;107.815924;225.7;118;950.643548;29.822581;19.829032;
83286;30/04/2008;0000;98.614269;247.7;106.6;950.29;30.15;19.513333;
83286;31/05/2008;0000;72.962216;270.8;0;952.540323;31.3;15.958065;
83286;30/06/2008;0000;0;279.6;0;954.508333;30.236667;13.423333;
83286;31/07/2008;0000;;;0;;;;
83286;31/08/2008;0000;0;306.5;0;953.230645;31.945161;14.041935;
83286;30/09/2008;0000;24.8;281.3;24.8;952.621667;34.526667;17.086667;
83286;31/10/2008;0000;0;286.8;0;951.152542;35.286667;19.517241;
83286;30/11/2008;0000;125.222827;140.3;355.5;949.915;31.33;20.993333;
83286;31/12/2008;0000;118.130879;169.6;169.5;949.86;30.033333;19.876667;
83286;31/01/2009;0000;118.825758;216.6;182.9;950.753571;30.682143;19.760714;
83286;28/02/2009;0000;95.086635;250.7;56.9;950.144643;30.964286;19.721429;
83286;31/03/2009;0000;71.793121;251.2;36;949.230645;32.596774;19.770968;
83286;30/04/2009;0000;96.386175;182.2;251.1;952.01;29.176667;19.976667;
83286;31/05/2009;0000;77.408081;188.7;95.5;953.109804;28.4;16.864;
83286;30/06/2009;0000;49.898834;250.5;1.9;954.381667;29.356667;14.906667;
83286;31/07/2009;0000;26.399214;302.6;0;954.587097;31.009677;13.448387;
83286;31/08/2009;0000;15.332238;308.4;0;953.833871;32.183871;15.096774;
83286;30/09/2009;0000;40.756527;285.9;34.3;952.353333;35.153333;18.9;
83286;31/10/2009;0000;;;0;;;;
83286;30/11/2009;0000;90.939828;235.3;71.7;949.838983;31.89;19.486667;
83286;31/12/2009;0000;116.746277;167.9;263;950.787097;30.135484;19.764516;
83286;31/01/2010;0000;88.177382;246.4;29.8;950.801786;31.421429;18.760714;
83286;28/02/2010;0000;53.308321;215.6;30.2;950.608929;32.910714;19.285714;
83286;31/03/2010;0000;;207.5;203.3;951.070968;31.341935;20.103226;
83286;30/04/2010;0000;52.758814;252;45;951.891667;31.276667;17.773333;
83286;31/05/2010;0000;15.39859;250.4;8.2;951.903226;32.651613;17.270968;
83286;30/06/2010;0000;2.469739;284.1;0;955.07;31.54;12.926667;
