"x"
"1" "<html><meta http-equiv=\"Content-Type\" content=\"text/html; charset=iso-8859-1\">
<head>
<title>Estação - 83639</title>
   <!-- FACE BOX -->
   <script src=\"facebox/js/jquery.js\" type=\"text/javascript\"></script>
   <link href=\"facebox/styles/facebox.css\" media=\"screen\" rel=\"stylesheet\" type=\"text/css\" >

   <script src=\"facebox/js/facebox.js\" type=\"text/javascript\"></script>
   <script type=\"text/javascript\">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type=\"text/javascript\">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement(\"A\");
         a_false.rel = \"lightbox\";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : CAPARAO - MG (OMM: 83639)
Latitude  (graus) : -20.51
Longitude (graus) : -41.9
Altitude  (metros): 843.18
Estação Operante
Inicio de operação: 17/11/1972
Periodo solicitado dos dados: 01/01/2000 a 22/04/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF=\"instrucao.html\" TARGET=\"_top\" rel=\"facebox\">siga as instruções</a>
--------------------
Estacao;Data;Hora;EvapoBHReal;InsolacaoTotal;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempMinimaMedia;
83639;31/01/2000;0000;;171.9;358.4;917.280645;28.525806;18.651613;
83639;29/02/2000;0000;;197.7;82;919.398824;29.175862;18.382759;
83639;31/03/2000;0000;;154.9;214;919.425806;27.6;18.035484;
83639;30/04/2000;0000;;218.6;23.2;920.976667;27.373333;15.333333;
83639;31/05/2000;0000;;211.3;9.5;921.572826;25.645161;12.803226;
83639;30/06/2000;0000;;228.7;28.9;923.192222;25.416667;9.796667;
83639;31/07/2000;0000;;181.2;5.7;922.788172;23.545161;10.706452;
83639;31/08/2000;0000;;206.8;42.5;923.056989;26.477419;11.222581;
83639;30/09/2000;0000;;155.3;40.6;922.513333;25.273333;14.98;
83639;31/10/2000;0000;;236.4;131.4;920.57957;30.56129;15.941935;
83639;30/11/2000;0000;;143.7;171.6;918.092222;27.17;17.513333;
83639;31/12/2000;0000;;185.5;303.8;917.198925;29.032258;18.432258;
83639;31/01/2001;0000;;231.5;244.8;920.73871;29.619355;18.274194;
83639;28/02/2001;0000;;230.3;92.6;919.302381;31.528571;18.128571;
83639;31/03/2001;0000;;232.7;87.2;920.491398;30.351613;17.56129;
83639;30/04/2001;0000;;251.3;67;921.592135;29.343333;15.246667;
83639;31/05/2001;0000;;205.9;50.4;921.354839;26.890323;13.216129;
83639;30/06/2001;0000;;212;8.5;924.643333;26.02;12.096667;
83639;31/07/2001;0000;;230.5;0.8;924.551613;26.222581;10.029032;
83639;31/08/2001;0000;;226.4;0.5;926.973913;26.332258;10.248387;
83639;30/09/2001;0000;;158;30.4;922.6;26.736667;13.823333;
83639;31/10/2001;0000;;179.6;91;920.808602;26.977419;15.448387;
83639;30/11/2001;0000;;143.5;363.6;918.607778;28.773333;18.233333;
83639;31/12/2001;0000;;170;204.4;918.912903;28.041935;18.122581;
83639;31/01/2002;0000;;;195.5;917.90989;28.98;18.43871;
83639;28/02/2002;0000;;;264.8;919.79881;27.460714;18.325;
83639;31/03/2002;0000;;;95.7;921.088172;29.470968;17.777419;
83639;30/04/2002;0000;;250;6.8;921.233333;28.813793;14.886667;
83639;31/05/2002;0000;;188.6;26.8;922.410989;25.983333;15.083871;
83639;30/06/2002;0000;;201;3.1;926.525556;25.863333;11.383333;
83639;31/07/2002;0000;;194.6;5.7;924.377419;24.441935;12.180645;
83639;31/08/2002;0000;;;3.7;925.035484;26.933333;12.077419;
83639;30/09/2002;0000;;173.5;93;922.718182;25.073333;14.590323;
83639;31/10/2002;0000;;275;53.9;920.575269;29.067742;16.525806;
83639;30/11/2002;0000;;201.7;253.8;920.398889;27.423333;17.796667;
83639;31/12/2002;0000;;134.7;395.9;919.369565;28.170968;19.045161;
83639;31/01/2003;0000;111.595582;149.6;629.7;918.932258;29.558065;18.916129;
83639;28/02/2003;0000;102.340852;272.3;22.7;921.004762;31.225;17.957143;
83639;31/03/2003;0000;76.159148;198.3;55.8;920.433333;29.777419;18.090323;
83639;30/04/2003;0000;76.02731;188.8;92.2;921.592222;28.553333;15.233333;
83639;31/05/2003;0000;26.67269;210.7;10.5;922.608602;25.987097;11.6;
83639;30/06/2003;0000;0;242.5;0;923.364045;26.633333;8.913333;
83639;31/07/2003;0000;1.6;219.8;1.6;925.927778;23.858065;8.790323;
83639;31/08/2003;0000;52.944161;192.1;71.4;924.190217;24.090323;11.751613;
