"x"
"1" "<html><meta http-equiv=\"Content-Type\" content=\"text/html; charset=iso-8859-1\">
<head>
<title>Estação - 83781</title>
   <!-- FACE BOX -->
   <script src=\"facebox/js/jquery.js\" type=\"text/javascript\"></script>
   <link href=\"facebox/styles/facebox.css\" media=\"screen\" rel=\"stylesheet\" type=\"text/css\" >

   <script src=\"facebox/js/facebox.js\" type=\"text/javascript\"></script>
   <script type=\"text/javascript\">
      jQuery(document).ready(function($) {
         $('a[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
         $('area[rel*=facebox]').facebox({
            loading_image : 'loading.gif',
            close_image   : 'closelabel.gif'})
      })
   </script>
   <script type=\"text/javascript\">
      function showFoto(src) {
         //criando um link falso, para o LightBox captar as informações
         var a_false = document.createElement(\"A\");
         a_false.rel = \"lightbox\";
         a_false.href = src;
         //chamando a função do lightbox responsável pelo início das ações
         myLightbox.start(a_false);
         //anulando o link
         a_false = null;
      }
   </script>
</head>
<pre>--------------------
BDMEP - INMET
--------------------
Estação           : SAO PAULO MIR de SANTANA  - SP (OMM: 83781)
Latitude  (graus) : -23.5
Longitude (graus) : -46.61
Altitude  (metros): 792.06
Estação Operante
Inicio de operação: 01/12/1945
Periodo solicitado dos dados: 01/01/2000 a 22/04/2015
Os dados listados abaixo são os que encontram-se digitados no BDMEP
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF=\"instrucao.html\" TARGET=\"_top\" rel=\"facebox\">siga as instruções</a>
--------------------
Estacao;Data;Hora;EvapoBHReal;InsolacaoTotal;PrecipitacaoTotal;PressaoMedia;TempMaximaMedia;TempMinimaMedia;
83781;31/01/2000;0000;;163.1;328.3;921.925806;27.790323;19.093548;
83781;29/02/2000;0000;;128.5;246.6;924.108046;27.110345;19.182759;
83781;31/03/2000;0000;;125.2;100.1;924.736559;26.380645;18.380645;
83781;30/04/2000;0000;;222.2;6.3;926.661111;26.323333;16.56;
83781;31/05/2000;0000;;194.7;9.3;927.005376;23.087097;13.93871;
83781;30/06/2000;0000;;162.8;12.2;927.847778;24.276667;13.8;
83781;31/07/2000;0000;;165.3;65.6;928.027957;21.467742;10.925806;
83781;31/08/2000;0000;;167.8;86.3;928.221505;23.6;12.267742;
83781;30/09/2000;0000;;130.5;111.1;927.411111;23.876667;14.386667;
83781;31/10/2000;0000;;194.4;59;925.680645;28.806452;17.690323;
83781;30/11/2000;0000;;147.6;186;923.284444;27.033333;17.853333;
83781;31/12/2000;0000;;;249.7;922.310753;28.245161;18.422581;
83781;31/01/2001;0000;;;144.2;925.031183;30.245161;19.877419;
83781;28/02/2001;0000;;;290.1;923.952381;29.964286;20.160714;
83781;31/03/2001;0000;;212.9;138.5;925.013978;30.016129;19.512903;
83781;30/04/2001;0000;;232.1;32.9;927.128889;28.343333;18.566667;
83781;31/05/2001;0000;;127.2;86.1;926.355914;22.990323;14.877419;
83781;30/06/2001;0000;;;24.5;929.351111;22.97;13.773333;
83781;31/07/2001;0000;;;41;929.034409;23.541935;12.63871;
83781;31/08/2001;0000;;;32.8;931.437634;25.193548;14.074194;
83781;30/09/2001;0000;;;88.5;927.335556;24.226667;14.616667;
83781;31/10/2001;0000;;228.6;204.3;925.094624;26.906452;15.958065;
83781;30/11/2001;0000;;155.9;185.2;923.802222;27.4;17.956667;
83781;31/12/2001;0000;;153.1;187;922.888172;26.9;18.203226;
83781;31/01/2002;0000;;150.9;284.8;923.268817;28.019355;19.174194;
83781;28/02/2002;0000;;126.9;172.5;924.317857;26.839286;18.6;
83781;31/03/2002;0000;;233.7;326.5;925.292473;30.2;19.767742;
83781;30/04/2002;0000;;218.3;53.5;925.485556;28.68;19.16;
83781;31/05/2002;0000;;141.2;93;926.769892;24.941935;16.158065;
83781;30/06/2002;0000;;138.9;1.3;929.367778;25.28;15.563333;
83781;31/07/2002;0000;;137.8;22.9;929.301075;22.435484;12.622581;
83781;31/08/2002;0000;;219.4;46.4;928.774194;27.03871;15.845161;
83781;30/09/2002;0000;;148.2;54.8;926.992222;24.57;13.743333;
83781;31/10/2002;0000;;191.1;124.9;924.507527;30.480645;18.06129;
83781;30/11/2002;0000;;174.4;226.5;924.768889;27.96;17.926667;
83781;31/12/2002;0000;;132.8;235.3;923.623656;29.235484;19.222581;
83781;31/01/2003;0000;113.097028;106.3;317.2;923.301075;27.522581;19.306452;
83781;28/02/2003;0000;122.981215;233.9;109.4;925.178571;31.607143;21.185714;
83781;31/03/2003;0000;101.262873;149;126.5;925.523656;27.783871;18.958065;
83781;30/04/2003;0000;83.304403;173.4;45.6;927.051111;26.526667;17.65;
83781;31/05/2003;0000;58.764704;205.1;33.1;928.163441;23.641935;14.222581;
83781;30/06/2003;0000;52.630893;;16;928.523333;25.056667;14.943333;
83781;31/07/2003;0000;19;;19;930.804301;23.632258;13.464516;
83781;31/08/2003;0000;25.3;;25.3;929.524731;22.096774;11.809677;
83781;30/09/2003;0000;;;34.5;928.168889;24.43;14.28;
83781;31/10/2003;0000;;;126.7;926.377419;26.46129;15.93871;
83781;30/11/2003;0000;;;99.3;924.111111;26.686667;17.073333;
83781;31/12/2003;0000;;;139.8;924.160215;28.351613;18.874194;
83781;31/01/2004;0000;;;284.5;922.945161;26.748387;18.36129;
83781;29/02/2004;0000;;;335.6;924.26092;26.931034;17.962069;
83781;31/03/2004;0000;;;130.7;925.335484;26.796774;17.590323;
83781;30/04/2004;0000;;;123.4;926.085556;26.556667;17.95;
83781;31/05/2004;0000;;;60.1;927.783871;22.087097;14.190323;
83781;30/06/2004;0000;;;66.8;930.347778;22.343333;12.736667;
83781;31/07/2004;0000;;;97.4;930.021505;21.164516;12.529032;
83781;31/08/2004;0000;;;2.7;930.229032;24.358065;12.890323;
83781;30/09/2004;0000;;;9.3;927.383333;28.763333;16.333333;
83781;31/10/2004;0000;;;97.4;925.719355;24.816129;15.516129;
83781;30/11/2004;0000;;;173.6;924.303333;26.533333;17.11;
83781;31/12/2004;0000;;;262.9;923.823656;27.093548;17.712903;
83781;31/01/2005;0000;;;312.1;923.045161;27.354839;19.348387;
83781;28/02/2005;0000;;;99.9;924.036905;28.164286;18.217857;
83781;31/03/2005;0000;;;286.6;925.122581;27.729032;19.083871;
83781;30/04/2005;0000;;;133.2;926.82;27.626667;18.726667;
83781;31/05/2005;0000;;;199;927.788172;25.151613;15.667742;
83781;30/06/2005;0000;;;30.4;929.344444;24.036667;14.786667;
83781;31/07/2005;0000;;;13.7;930.878495;22.351613;13.006452;
