"","regiao","Safra","Area","ProdutAlgCar","ProdutPluma","ProdutCarAlg","RendPluma","ProducAlgCar","ProducPluma","ProducCarAlg"
"1","NORTE","2000.01","2.6","1346","461.538461538461","884.615384615384","34.2857142857143","3.5","1.2","2.3"
"2","NORDESTE","2000.01","151.6","1343","503.298153034301","839.709762532982","37.475442043222","203.6","76.3","127.3"
"3","CENTRO-OESTE","2000.01","541.5","3410","1318.00554016621","2092.33610341644","38.6473168354362","1846.7","713.7","1133"
"4","SUDESTE","2000.01","104.3","2337","857.142857142857","1480.34515819751","36.6694011484824","243.8","89.4","154.4"
"5","SUL","2000.01","68.4","2385","850.877192982456","1533.62573099415","35.683629675046","163.1","58.2","104.9"
"6","NORTE/NORDESTE","2000.01","154.2","1343","502.594033722438","840.466926070039","37.4215354901014","207.1","77.5","129.6"
"7","CENTRO-SUL","2000.01","714.2","3155","1205.96471576589","1949.45393447214","38.2188498402556","2253.6","861.3","1392.3"
"8","BRASIL","2000.01","868.4","2834","1081.06863196684","1752.53339474896","38.1517454382899","2460.7","938.8","1521.9"
"9","NORTE","2001.02","0.3","3000","1000","2000","33.3333333333333","0.9","0.3","0.6"
"10","NORDESTE","2001.02","157.4","1512","564.167725540025","947.903430749682","37.3109243697479","238","88.8","149.2"
"11","CENTRO-OESTE","2001.02","451.5","3197","1234.3300110742","1962.34772978959","38.612900990785","1443.3","557.3","886"
"12","SUDESTE","2001.02","100.9","2398","880.0792864222","1518.3349851338","36.6942148760331","242","88.8","153.2"
"13","SUL","2001.02","37.6","2311","824.468085106383","1486.70212765957","35.6731875719218","86.9","31","55.9"
"14","NORTE/NORDESTE","2001.02","157.7","1515","564.996829422955","949.904882688649","37.2959397237338","238.9","89.1","149.8"
"15","CENTRO-SUL","2001.02","590","3004","1147.62711864407","1856.10169491525","38.2067486739646","1772.2","677.1","1095.1"
"16","BRASIL","2001.02","747.7","2690","1024.74254380099","1664.9725825866","38.0985530306797","2011.1","766.2","1244.9"
"17","NORTE","2002.03","2.4","2333","833.333333333333","1500","35.7142857142857","5.6","2","3.6"
"18","NORDESTE","2002.03","167","2081","809.580838323353","1271.25748502994","38.9064748201439","347.5","135.2","212.3"
"19","CENTRO-OESTE","2002.03","441.3","3496","1341.94425560843","2153.63698164514","38.389731621937","1542.6","592.2","950.4"
"20","SUDESTE","2002.03","95.1","2599","984.227129337539","1615.14195583596","37.8640776699029","247.2","93.6","153.6"
"21","SUL","2002.03","29.3","2369","836.17747440273","1532.42320819113","35.3025936599424","69.4","24.5","44.9"
"22","NORTE/NORDESTE","2002.03","169.4","2084","809.917355371901","1274.49822904368","38.8558482016426","353.1","137.2","215.9"
"23","CENTRO-SUL","2002.03","565.7","3287","1255.61251546756","2030.93512462436","38.2046041308089","1859.2","710.3","1148.9"
"24","BRASIL","2002.03","735.1","3010","1152.90436675282","1856.61814719086","38.3085476653257","2212.3","847.5","1364.8"
"25","NORTE","2003.04","3.8","3158","1157.89473684211","2000","36.6666666666667","12","4.4","7.6"
"26","NORDESTE","2003.04","296.2","2574","995.94868332208","1578.32545577313","38.6885245901639","762.5","295","467.5"
"27","CENTRO-OESTE","2003.04","632.1","3531","1360.8606233191","2170.22623002689","38.5394265232975","2232","860.2","1371.8"
"28","SUDESTE","2003.04","121.8","2546","963.054187192118","1582.92282430213","37.8265075782006","310.1","117.3","192.8"
"29","SUL","2003.04","46.1","1996","704.989154013015","1290.67245119306","35.3260869565217","92","32.5","59.5"
"30","NORTE/NORDESTE","2003.04","300","2582","998","1583.66666666667","38.6571981923822","774.5","299.4","475.1"
"31","CENTRO-SUL","2003.04","800","3293","1262.5","2030.125","38.3432671500702","2634.1","1010","1624.1"
"32","BRASIL","2003.04","1100","3099","1190.36363636364","1908.36363636364","38.4145983688318","3408.6","1309.4","2099.2"
"33","NORTE","2004.05","1.4","3450","1259.25","2190.75","36.5","4.8","1.76295","3.06705"
"34","NORDESTE","2004.05","330.9","2671.21486854034","1029.77198549411","1641.44288304624","38.5506983216522","853.2","340.75155","543.15345"
"35","CENTRO-OESTE","2004.05","658.4","3279.85343256379","1239.85440765492","2039.99902490887","37.8021284532142","2159.4","816.320142","1343.135358"
"36","SUDESTE","2004.05","132.5","2273.16226415094","846.408226415094","1426.75403773585","37.234835355286","301.2","112.14909","189.04491"
"37","SUL","2004.05","56.2","1395","492.435","902.565","35.3","78.4","27.674847","50.724153"
"38","NORTE/NORDESTE","2004.05","332.3","2674.49593740596","1030.73879024977","1643.75714715618","38.5395534101841","858","342.5145","546.2205"
"39","CENTRO-SUL","2004.05","847.1","2997.34210836973","1128.72633573368","1868.61577263605","37.6575744417643","2539","956.144079","1582.904421"
"40","BRASIL","2004.05","1179.4","2906.37909106325","1101.11800830931","1805.26108275394","37.8862486210112","3397","1298.658579","2129.124921"
"41","NORTE","2005.06","0","0","0","0","0","0","0","0"
"42","NORDESTE","2005.06","300.5","2902.8618968386","1114.85499334443","1788.00690349418","38.4053748667332","872.31","335.0139255","537.2960745"
"43","CENTRO-OESTE","2005.06","465.6","3496.88681271478","1332.39598904639","2164.49082366839","38.102348185871","1628.1505","620.3635725","1007.7869275"
"44","SUDESTE","2005.06","74.2","2602.07547169811","968.606199460917","1633.4692722372","37.2243699307001","193.074","71.87058","121.20342"
"45","SUL","2005.06","15.9","1890","667.17","1222.83","35.3","30.051","10.608003","19.442997"
"46","NORTE/NORDESTE","2005.06","300.5","2902.8618968386","1114.85499334443","1788.00690349418","38.4053748667332","872.31","335.0139255","537.2960745"
