"","UF","Safra","Area","ProdutAlgCar","ProdutPluma","ProdutCarAlg","RendPluma","ProducAlgCar","ProducPluma","ProducCarAlg"
"1","RR","2000.01","0","0","0","0","0","0","0","0"
"2","RO","2000.01","2.6","1355","461.538461538461","884.615384615384","34.2857142857143","3.5","1.2","2.3"
"3","AC","2000.01","0","0","0","0","0","0","0","0"
"4","AM","2000.01","0","0","0","0","0","0","0","0"
"5","AP","2000.01","0","0","0","0","0","0","0","0"
"6","PA","2000.01","0","0","0","0","0","0","0","0"
"7","TO","2000.01","0","0","0","0","0","0","0","0"
"8","MA","2000.01","2.4","3300","1208.33333333333","2083.33333333333","36.7088607594937","7.9","2.9","5"
"9","PI","2000.01","8.1","300","98.7654320987654","197.530864197531","33.3333333333333","2.4","0.8","1.6"
"10","CE","2000.01","29.4","410","136.054421768707","275.510204081633","33.0578512396694","12.1","4","8.1"
"11","RN","2000.01","19.7","180","60.9137055837563","121.827411167513","33.3333333333333","3.6","1.2","2.4"
"12","PB","2000.01","8.4","350","119.047619047619","238.095238095238","33.3333333333333","3","1","2"
"13","PE","2000.01","7.3","350","109.58904109589","232.876712328767","32","2.5","0.8","1.7"
"14","AL","2000.01","21","600","200","400","33.3333333333333","12.6","4.2","8.4"
"15","SE","2000.01","0.3","0","0","0","0","0","0","0"
"16","BA","2000.01","55","2900","1116.36363636364","1783.63636363636","38.4952978056426","159.5","61.4","98.1"
"17","MT","2000.01","392","3510","1361.98979591837","2148.21428571429","38.8008720930233","1376","533.9","842.1"
"18","MS","2000.01","50.4","3425","1319.44444444444","2107.14285714286","38.5060799073538","172.7","66.5","106.2"
"19","GO","2000.01","97.6","3000","1140.36885245902","1859.63114754098","38.0122950819672","292.8","111.3","181.5"
"20","DF","2000.01","1.5","3450","1333.33333333333","2133.33333333333","38.4615384615385","5.2","2","3.2"
"21","MG","2000.01","38.6","2060","761.658031088083","1297.9274611399","36.9811320754717","79.5","29.4","50.1"
"22","ES","2000.01","0","0","0","0","0","0","0","0"
"23","RJ","2000.01","0","0","0","0","0","0","0","0"
"24","SP","2000.01","65.7","2500","913.24200913242","1587.51902587519","36.5185636031649","164.3","60","104.3"
"25","PR","2000.01","68.4","2385","850.877192982456","1533.62573099415","35.683629675046","163.1","58.2","104.9"
"26","SC","2000.01","0","0","0","0","0","0","0","0"
"27","RS","2000.01","0","0","0","0","0","0","0","0"
"28","RR","2001.02","0","0","0","0","0","0","0","0"
"29","RO","2001.02","0","0","0","0","0","0","0","0"
"30","AC","2001.02","0","0","0","0","0","0","0","0"
"31","AM","2001.02","0","0","0","0","0","0","0","0"
"32","AP","2001.02","0","0","0","0","0","0","0","0"
"33","PA","2001.02","0","0","0","0","0","0","0","0"
"34","TO","2001.02","0.3","3000","1000","2000","33.3333333333333","0.9","0.3","0.6"
"35","MA","2001.02","3.1","2700","1000","1709.67741935484","36.9047619047619","8.4","3.1","5.3"
"36","PI","2001.02","8.9","330","112.359550561798","213.483146067416","34.4827586206897","2.9","1","1.9"
"37","CE","2001.02","20.3","800","266.009852216749","532.019704433498","33.3333333333333","16.2","5.4","10.8"
"38","RN","2001.02","19.7","595","197.969543147208","395.939086294416","33.3333333333333","11.7","3.9","7.8"
"39","PB","2001.02","10.2","850","284.313725490196","568.627450980392","33.3333333333333","8.7","2.9","5.8"
"40","PE","2001.02","8","530","175","350","33.3333333333333","4.2","1.4","2.8"
"41","AL","2001.02","17","530","176.470588235294","352.941176470588","33.3333333333333","9","3","6"
"42","SE","2001.02","0","0","0","0","0","0","0","0"
"43","BA","2001.02","70.2","2520","970.08547008547","1549.85754985755","38.496325607688","176.9","68.1","108.8"
"44","MT","2001.02","312.8","3225","1250.95907928389","1974.10485933504","38.7886597938144","1008.8","391.3","617.5"
"45","MS","2001.02","45.4","3570","1374.44933920705","2196.03524229075","38.4947563232572","162.1","62.4","99.7"
"46","GO","2001.02","91.7","2910","1105.77971646674","1803.70774263904","38.0059970014993","266.8","101.4","165.4"
"47","DF","2001.02","1.6","3525","1375","2125","39.2857142857143","5.6","2.2","3.4"
"48","MG","2001.02","37.8","2195","812.169312169312","1383.59788359788","36.9879518072289","83","30.7","52.3"
"49","ES","2001.02","0","0","0","0","0","0","0","0"
"50","RJ","2001.02","0","0","0","0","0","0","0","0"
"51","SP","2001.02","63.1","2520","920.760697305864","1599.04912836767","36.5408805031447","159","58.1","100.9"
"52","PR","2001.02","37.6","2310","824.468085106383","1486.70212765957","35.6731875719218","86.9","31","55.9"
"53","SC","2001.02","0","0","0","0","0","0","0","0"
"54","RS","2001.02","0","0","0","0","0","0","0","0"
"55","RR","2002.03","0","0","0","0","0","0","0","0"
"56","RO","2002.03","0","0","0","0","0","0","0","0"
"57","AC","2002.03","0","0","0","0","0","0","0","0"
"58","AM","2002.03","0","0","0","0","0","0","0","0"
"59","AP","2002.03","0","0","0","0","0","0","0","0"
"60","PA","2002.03","0","0","0","0","0","0","0","0"
"61","TO","2002.03","2.4","2340","833.333333333333","1500","35.7142857142857","5.6","2","3.6"
"62","MA","2002.03","3.3","3450","1303.0303030303","2151.51515151515","37.719298245614","11.4","4.3","7.1"
"63","PI","2002.03","9.8","460","153.061224489796","306.122448979592","33.3333333333333","4.5","1.5","3"
"64","CE","2002.03","14","865","285.714285714286","578.571428571429","33.0578512396694","12.1","4","8.1"
"65","RN","2002.03","20.5","590","195.121951219512","395.121951219512","33.0578512396694","12.1","4","8.1"
"66","PB","2002.03","12.3","1000","333.333333333333","666.666666666667","33.3333333333333","12.3","4.1","8.2"
"67","PE","2002.03","6.2","500","161.290322580645","338.709677419355","32.258064516129","3.1","1","2.1"
"68","AL","2002.03","14.6","490","164.383561643836","328.767123287671","33.3333333333333","7.2","2.4","4.8"
"69","SE","2002.03","0","0","0","0","0","0","0","0"
"70","BA","2002.03","86.3","3300","1319.81460023175","1980.30127462341","39.9929775280899","284.8","113.9","170.9"
"71","MT","2002.03","300.3","3570","1373.95937395937","2196.1371961372","38.4852159313497","1072.1","412.6","659.5"
"72","MS","2002.03","43.6","3720","1431.19266055046","2288.99082568807","38.4710234278668","162.2","62.4","99.8"
"73","GO","2002.03","95.4","3150","1197.06498951782","1952.83018867925","38.0033277870216","300.5","114.2","186.3"
"74","DF","2002.03","2","3900","1500","2400","38.4615384615385","7.8","3","4.8"
"75","MG","2002.03","35.2","2430","911.931818181818","1517.04545454545","37.5438596491228","85.5","32.1","53.4"
"76","ES","2002.03","0","0","0","0","0","0","0","0"
"77","RJ","2002.03","0","0","0","0","0","0","0","0"
"78","SP","2002.03","59.9","2700","1026.71118530885","1672.78797996661","38.0333951762523","161.7","61.5","100.2"
"79","PR","2002.03","29.3","2370","836.17747440273","1532.42320819113","35.3025936599424","69.4","24.5","44.9"
"80","SC","2002.03","0","0","0","0","0","0","0","0"
"81","RS","2002.03","0","0","0","0","0","0","0","0"
