"","regiao","Safra","AreaProducao","AreaFormacao","Produtividade","Producao"
"1","NORTE","2001",264400,75200,8.16944024205749,2160
"2","NORDESTE","2001",95600,17940,22.907949790795,2190
"3","Cerrado","2001",0,0,0,0
"4","Planalto","2001",0,0,0,0
"5","Atlântico","2001",0,0,0,0
"6","CENTRO-OESTE","2001",38100,12600,9.18635170603675,350
"7","SUDESTE","2001",1635900,264500,15.8444892719604,25920
"8","Sul e Centro-Oeste","2001",473400,95600,16.0540768905788,7600
"9","Triângulo, Alto Paranaiba e Noroeste","2001",140700,22500,22.0326936744847,3100
"10","Zona da Mata, Rio Doce e Central","2001",277000,46800,14.4043321299639,3990
"11","Norte, Jequitinhonha e Mucuri","2001",NA,0,NA,NA
"12","SUL","2001",127700,67300,4.22866092404072,540
"13","OUTROS","2001",17500,1100,8,140
"14","NORTE/NORDESTE","2001",360000,93140,12.0833333333333,4350
"15","CENTRO-SUL","2001",1801700,344400,14.8803907420769,26810
"16","BRASIL","2001",2179200,438640,14.3630690161527,31300
"17","NORTE","2002",184500,29300,13.0623306233062,2410
"18","NORDESTE","2002",103000,10100,22.3300970873786,2300
"19","Cerrado","2002",0,0,0,0
"20","Planalto","2002",0,0,0,0
"21","Atlântico","2002",0,0,0,0
"22","CENTRO-OESTE","2002",36900,4300,13.2791327913279,490
"23","SUDESTE","2002",1836480,232610,22.0639484230702,40520
"24","Sul e Centro-Oeste","2002",545000,84700,21.3449541284404,11633
"25","Triângulo, Alto Paranaiba e Noroeste","2002",177000,18500,28.8135593220339,5100
"26","Zona da Mata, Rio Doce e Central","2002",348000,38800,19.6551724137931,6840
"27","Norte, Jequitinhonha e Mucuri","2002",0,0,0,0
"28","SUL","2002",128000,9800,18.28125,2340
"29","OUTROS","2002",21890,960,19.1868433074463,420
"30","NORTE/NORDESTE","2002",287500,39400,16.3826086956522,4710
"31","CENTRO-SUL","2002",2001380,246710,21.660054562352,43350
"32","BRASIL","2002",2310770,287070,20.9800196471306,48480
"33","NORTE","2003",206000,20000,13.2038834951456,2720
"34","NORDESTE","2003",95200,2800,18.6974789915966,1780
"35","Cerrado","2003",0,0,0,0
"36","Planalto","2003",0,0,0,0
"37","Atlântico","2003",0,0,0,0
"38","CENTRO-OESTE","2003",36100,3200,11.9113573407202,430
"39","SUDESTE","2003",1719000,167900,12.565445026178,21600
"40","Sul e Centro-Oeste","2003",477000,72000,11.2368972746331,5360
"41","Triângulo, Alto Paranaiba e Noroeste","2003",154000,16000,18.2467532467532,2810
"42","Zona da Mata, Rio Doce e Central","2003",346000,28000,11.2138728323699,3880
"43","Norte, Jequitinhonha e Mucuri","2003",0,0,0,0
"44","SUL","2003",123200,10400,15.9902597402597,1970
"45","OUTROS","2003",22050,800,14.5124716553288,320
"46","NORTE/NORDESTE","2003",301200,22800,14.9402390438247,4500
"47","CENTRO-SUL","2003",1878300,181500,12.7775115796199,24000
"48","BRASIL","2003",2201550,205100,13.0907769526016,28820
"49","NORTE","2004",206781,10400,9.57534783176404,1980
"50","NORDESTE","2004",96710,2155,23.5652983145486,2279
"51","Cerrado","2004",0,0,0,0
"52","Planalto","2004",0,0,0,0
"53","Atlântico","2004",0,0,0,0
"54","CENTRO-OESTE","2004",34517,2500,8.98108178578671,310
"55","SUDESTE","2004",1727957,182965,18.3465213544087,31702
"56","Sul e Centro-Oeste","2004",0,0,0,0
"57","Triângulo, Alto Paranaiba e Noroeste","2004",0,0,0,0
"58","Zona da Mata, Rio Doce e Central","2004",0,0,0,0
"59","Norte, Jequitinhonha e Mucuri","2004",0,0,0,0
"60","SUL","2004",117105,5279,21.5703855514282,2526
"61","OUTROS","2004",29800,420,15.9395973154362,475
"62","NORTE/NORDESTE","2004",303491,12555,14.0333650750764,4259
"63","CENTRO-SUL","2004",1879579,190744,18.3753915105457,34538
"64","BRASIL","2004",2212870,203719,17.7470886224677,39272
"65","NORTE","2005",188510,7700,11.1506020900748,2102
"66","NORDESTE","2005",97175,2415,18.6467712889118,1812
"67","Cerrado","2005",0,0,0,0
"68","Planalto","2005",0,0,0,0
"69","Atlântico","2005",0,0,0,0
"70","CENTRO-OESTE","2005",34500,2500,8.98550724637681,310
"71","SUDESTE","2005",1762501,199596,15.2113388871836,26810
"72","Sul e Centro-Oeste","2005",496613,99248,13.592072700473,6750
"73","Triângulo, Alto Paranaiba e Noroeste","2005",160714,24267,17.9573652575382,2886
"74","Zona da Mata, Rio Doce e Central","2005",376206,32990,14.8402736798456,5583
"75","Norte, Jequitinhonha e Mucuri","2005",0,0,0,0
"76","SUL","2005",106380,6935,13.4893777025757,1435
"77","OUTROS","2005",28600,500,16.6083916083916,475
"78","NORTE/NORDESTE","2005",285685,10115,13.7004042914399,3914
"79","CENTRO-SUL","2005",1903381,209031,15.0022512571051,28555
"80","BRASIL","2005",2217666,219646,14.8552577349339,32944
"81","NORTE","2006",183542,4003,8.40679517494633,1543
"82","NORDESTE","2006",97794,2750,23.0177720514551,2251
"83","Cerrado","2006",0,0,0,0
"84","Planalto","2006",0,0,0,0
"85","Atlântico","2006",0,0,0,0
