"","regiao","Safra","Area","Produtividade","Produção","Açucar","Etanol Total","Etanol Anidro","Etanol Hidratado"
"1","NORTE","2005.06",18.6,57633,1073.7,22.704,61175.6,54862.2,6129.8
"2","NORDESTE","2005.06",1077.4,52534,56599.6,3916.0029,1642099.8,945002.8,637724.2
"3","CENTRO-OESTE","2005.06",547,70953,38807.1,1745.821,2137075.8,991138.6,1145937.2
"4","SUDESTE","2005.06",3737.3,81765,304920.2,19072.4757,11772946.1,6635992.9,5050564.6
"5","SUL","2005.06",460.01,65237,30012.8,1663.0791,1384136.3,478451.6,905684.7
"6","NORTE/NORDESTE","2005.06",1096,55063,57673.3,3938.7069,1703275.4,999865,643854
"7","CENTRO-SUL","2005.06",4744.31,78915,373740.1,22481.3758,15294158.2,8105583.1,7102186.5
"8","BRASIL","2005.06",5840.31,74318,431413.4,26420.0827,16997433.6,9105448.1,7746040.5
"9","NORTE","2006.07",19.8,63732,1261.9,20.2,68508.9,50174.1,18334.8
"10","NORDESTE","2006.07",1123.5,55954,62860.3,4192.7,1627643.6,888856.9,738786.7
"11","CENTRO-OESTE","2006.07",604.6,75219,45473,1926.5,2222507,911357.4,1311149.6
"12","SUDESTE","2006.07",3928.1,83806,329204.2,21944.3,12186656.2,5939625.6,6247030.6
"13","SUL","2006.07",487.3,73879,36001,2139.9,1326862.3,430701.8,896160.5
"14","NORTE/NORDESTE","2006.07",1143.3,56089,64122.2,4212.9,1696152.5,939031,757121.5
"15","CENTRO-SUL","2006.07",5020,81808,410678.2,26010.7,15736025.5,7281684.8,8454340.7
"16","BRASIL","2006.07",6163.3,77038,474800.4,30223.6,17432178,8220715.8,9211462.2
"17","NORTE","2007.08",20.6,65464,1348.6,25,68987.8,44217.2,24770.6
"18","NORDESTE","2007.08",1037.3,65429,67868,4833.5,2148825.8,1067480.4,1081345.4
"19","CENTRO-OESTE","2007.08",900.8,73834,66510.1,2041.3,2992581,1127587.5,1864993.5
"20","SUDESTE","2007.08",4540.1,86474,392605.7,21836,16008282.9,6011131,9997151.9
"21","SUL","2007.08",511.4,84160,43038.3,2543.9,1788490.3,389634.2,1398856.1
"22","NORTE/NORDESTE","2007.08",1057.9,65430,69216.6,4858.5,2217813.6,1111697.6,1106116
"23","CENTRO-SUL","2007.08",5952.3,84363,502154.1,26421.2,20789354.2,7528352.7,13261001.5
"24","BRASIL","2007.08",7010.2,81506,571370.7,31279.7,23007167.8,8640050.3,14367117.5
"25","NORTE","2008.09",16.1,68252,1093.6,51.1,67398.8,42070.2,25328.6
"26","NORDESTE","2008.09",1052.6,61197,64416.1,4494.6,2288546.9,1078740.7,1209806.2
"27","CENTRO-OESTE","2008.09",900.8,73834,66510.1,2615.7,3825539.1,1334269,2491270.1
"28","SUDESTE","2008.09",4561.8,86610,395094.4,22079.3,18577538.8,7197532.4,11380006.4
"29","SUL","2008.09",526.6,84163,44320.1,2379.5,1924401.3,411098.8,1513302.5
