"","UF","Safra","Area","Produtividade","Produção","Açucar","Etanol Total","Etanol Anidro","Etanol Hidratado"
"1","RR","2005.06",0,0,0,0,0,0,0
"2","RO","2005.06",0,0,0,0,0,0,0
"3","AC","2005.06",0,0,0,0,0,0,0
"4","AM","2005.06",3.8,50750,194.4,22.704,1037.1,486.3,367.2
"5","AP","2005.06",0,0,0,NA,0,NA,NA
"6","PA","2005.06",10.4,58300,606.3,0,34882.9,34882.9,0
"7","TO","2005.06",4.4,62043,273,0,25255.6,19493,5762.6
"8","MA","2005.06",31.8,62043,1969.9,17.6746,131769.3,107380.1,24389.2
"9","PI","2005.06",10,64990,614,0,48112.5,35765.3,12347.2
"10","CE","2005.06",35.1,50912,1773.3,0,28448.5,569.3,27879.2
"11","RN","2005.06",50.6,49553,2637.8,172.693,49627.3,23214.6,26412.7
"12","PB","2005.06",105.6,45588,4765.1,172.6057,253831.3,122955.1,87796.2
"13","PE","2005.06",362.4,47495,16943.6,1475.644,214437.3,111550.6,102886.7
"14","AL","2005.06",402.1,61256,23110.7,2077.3856,589671.3,294667.9,278710.6
"15","SE","2005.06",24.8,57158,1417.5,51.1281,45527,19899.9,25627.1
"16","BA","2005.06",55,66718,3367.7,242.3283,280675.3,229000,51675.3
"17","MT","2005.06",205.4,65535,13460.2,534.1771,810581.7,364525.8,446055.9
"18","MS","2005.06",139.1,70451,9799,337.1676,585652.7,285046.2,300606.5
"19","GO","2005.06",202.5,76795,15547.9,874.4763,740841.4,341566.6,399274.8
"20","DF","2005.06",0,0,0,0,0,0,0
"21","MG","2005.06",357.1,79029,27557.1,1832.978,873285.4,423271.6,450013.8
"22","ES","2005.06",64.4,65871,4243.4,66.2137,263888.5,172000.9,79486.4
"23","RJ","2005.06",169.2,44770,7576.4,432.3909,280592.3,191190.6,89401.7
"24","SP","2005.06",3146.6,84390,265543.3,16740.8931,10355179.9,5849529.8,4431662.7
"25","PR","2005.06",410.9,69365,28504.9,1663.0791,1313518.8,478451.6,835067.2
"26","SC","2005.06",16.71,36010,601.7,0,0,0,0
"27","RS","2005.06",32.4,27960,906.2,0,70617.5,0,70617.5
"28","RR","2006.07",0,0,0,0,0,0,0
"29","RO","2006.07",0,0,0,0,0,0,0
"30","AC","2006.07",0,0,0,0,0,0,0
"31","AM","2006.07",4.8,56900,273.1,15.8,5720.7,295.2,5425.5
"32","AP","2006.07",0,0,0,NA,NA,NA,NA
"33","PA","2006.07",10.5,70160,736.7,4.4,50037.9,39766.9,10271
"34","TO","2006.07",4.5,56030,252.1,0,12750.3,10112,2638.3
"35","MA","2006.07",40.3,58100,2341.4,3.3,130939.1,107875.3,23063.8
"36","PI","2006.07",12.5,65700,821.3,0,51943.5,39317.8,12625.7
"37","CE","2006.07",28.9,56120,1619.1,0,1488.6,110.1,1378.5
"38","RN","2006.07",55.2,52320,2888.1,250.4,61275.7,38052,23223.7
"39","PB","2006.07",112.5,52700,5927.2,153.1,295574.8,125255,170319.8
"40","PE","2006.07",369.6,51173,18913.5,1433.3,338672.1,207833.1,130839
"41","AL","2006.07",402.7,62500,25168.8,2184.9,599591.3,273392.5,326198.8
"42","SE","2006.07",31.1,52310,1626.8,51.3,54264.6,32021.5,22243.1
"43","BA","2006.07",70.7,50270,3554.1,116.4,93893.9,64999.6,28894.3
"44","MT","2006.07",209.7,67100,14073.6,545.9,746388.6,312322.9,434065.7
"45","MS","2006.07",160,79250,12676,575.6,642978.8,210759.7,432219.1
"46","GO","2006.07",234.9,79725,18723.4,805,833139.6,388274.8,444864.8
"47","DF","2006.07",0,0,0,0,0,0,0
