"","regiao","Safra","Area","Produtividade","Producao"
"1","NORTE","2000.01","558.6","1640","916.2"
"2","NORDESTE","2000.01","2580.2","771","1988.3"
"3","CENTRO-OESTE","2000.01","2028.6","4059","8234.3"
"4","SUDESTE","2000.01","2451.9","3504","8591.9"
"5","SUL","2000.01","5353.2","4214","22559"
"6","NORTE/NORDESTE","2000.01","3138.8","925","2904.5"
"7","CENTRO-SUL","2000.01","9833.7","4005","39385.2"
"8","BRASIL","2000.01","12972.5","3260","42289.7"
"9","NORTE","2001.02","491.3","1740","855.1"
"10","NORDESTE","2001.02","2680.6","766","2054.5"
"11","CENTRO-OESTE","2001.02","1994.3","3554","7088.2"
"12","SUDESTE","2001.02","2347.1","3790","8894.4"
"13","SUL","2001.02","4784.5","3422","16374.6"
"14","NORTE/NORDESTE","2001.02","3171.9","917","2909.6"
"15","CENTRO-SUL","2001.02","9125.9","3546","32357.2"
"16","BRASIL","2001.02","12297.8","2868","35266.8"
"17","NORTE","2002.03","517.7","1891","979.2"
"18","NORDESTE","2002.03","2894.9","1132","3277.5"
"19","CENTRO-OESTE","2002.03","2327.8","4266","9931.4"
"20","SUDESTE","2002.03","2422.5","4148","10047.7"
"21","SUL","2002.03","5063.3","4577","23175.1"
"22","NORTE/NORDESTE","2002.03","3412.6","1247","4256.7"
"23","CENTRO-SUL","2002.03","9813.6","4397","43154.2"
"24","BRASIL","2002.03","13226.2","3585","47410.9"
"25","NORTE","2003.04","563.6","1920","1089.7"
"26","NORDESTE","2003.04","2887","1075","3002.6"
"27","CENTRO-OESTE","2003.04","2308.9","4031","9355"
"28","SUDESTE","2003.04","2465.5","4319","10649.1"
"29","SUL","2003.04","4558","3956","18032.1"
"30","NORTE/NORDESTE","2003.04","3450.6","1208","4092.3"
"31","CENTRO-SUL","2003.04","9332.4","4071","38036.2"
"32","BRASIL","2003.04","12783","3291","42128.5"
"33","NORTE","2004.05","567.3","1953","1107.8"
"34","NORDESTE","2004.05","2749.6","1080","2969.4"
"35","CENTRO-OESTE","2004.05","2264.8","3454","7823.1"
"36","SUDESTE","2004.05","2484.1","4147","10302.8"
"37","SUL","2004.05","4142.4","3091","12803.6"
"38","NORTE/NORDESTE","2004.05","3316.9","1229","4077.2"
"39","CENTRO-SUL","2004.05","8891.3","3479","30929.5"
"40","BRASIL","2004.05","12208.2","2867","35006.7"
"41","NORTE","2005.06","556.6","2029","1129.2"
"42","NORDESTE","2005.06","2850.9","1137","3242.4"
"43","CENTRO-OESTE","2005.06","2372.5","4043","9592.2"
"44","SUDESTE","2005.06","2472","3904","9651.9"
"45","SUL","2005.06","4711.9","4011","18899.2"
"46","NORTE/NORDESTE","2005.06","3407.5","1283","4371.6"
"47","CENTRO-SUL","2005.06","9556.4","3991","38143.3"
"48","BRASIL","2005.06","12963.9","3279","42514.9"
"49","NORTE","2006.07","564.5","2202","1243"
"50","NORDESTE","2006.07","2961.6","1049","3106.2"
"51","CENTRO-OESTE","2006.07","3259.7","3986","12994"
"52","SUDESTE","2006.07","2404.6","4306","10353.2"
"53","SUL","2006.07","4864.5","4867","23673.3"
"54","NORTE/NORDESTE","2006.07","3526.1","1233","4349.2"
"55","CENTRO-SUL","2006.07","10528.8","4466","47020.7"
"56","BRASIL","2006.07","14054.9","3655","51369.9"
"57","NORTE","2007.08","572.3","2399","1372.8"
"58","NORDESTE","2007.08","2981.6","1474","4396"
"59","CENTRO-OESTE","2007.08","3774.7","4421","16686.2"
"60","SUDESTE","2007.08","2350.9","4857","11417.6"
"61","SUL","2007.08","5086.2","4872","24779.7"
"62","NORTE/NORDESTE","2007.08","3553.9","1623","5768.8"
"63","CENTRO-SUL","2007.08","11211.8","4717","52883.5"
"64","BRASIL","2007.08","14765.7","3972","58652.3"
"65","NORTE","2008.09","521.4","2393","1247.5"
"66","NORDESTE","2008.09","3030","1532","4642.4"
"67","CENTRO-OESTE","2008.09","3528.1","4411","15564.1"
"68","SUDESTE","2008.09","2253.7","4852","10935"
"69","SUL","2008.09","4838.6","3847","18614.8"
"70","NORTE/NORDESTE","2008.09","3551.4","1658","5889.9"
"71","CENTRO-SUL","2008.09","10620.4","4248","45113.9"
"72","BRASIL","2008.09","14171.8","3599","51003.8"
"73","NORTE","2009.10","514","2503","1286.5"
"74","NORDESTE","2009.10","2648.7","1613","4273.6"
"75","CENTRO-OESTE","2009.10","3723.3","4541","16906.8"
"76","SUDESTE","2009.10","2113.3","5071","10715.6"
"77","SUL","2009.10","3994.6","5717","22835.6"
"78","NORTE/NORDESTE","2009.10","3162.7","1758","5560.1"
"79","CENTRO-SUL","2009.10","9831.2","5132","50458"
"80","BRASIL","2009.10","12993.9","4311","56018.1"
"81","NORTE","2010.12","521.7","2713","1415.5"
"82","NORDESTE","2010.12","3147.7","1947","6128"
"83","CENTRO-OESTE","2010.12","3857.5","4489","17315.6"
"84","SUDESTE","2010.12","2146","5104","10952.3"
"85","SUL","2010.12","4133.2","5225","21595.5"
"86","NORTE/NORDESTE","2010.12","3669.4","2056","7543.5"
"87","CENTRO-SUL","2010.12","10136.7","4919","49863.4"
"88","BRASIL","2010.12","13806.1","4158","57406.9"
"89","NORTE","2011.12","569.5","2902","1652.4"
"90","NORDESTE","2011.12","2421.5","1802","4364"
"91","CENTRO-OESTE","2011.12","5291.8","5880","31116.3"
"92","SUDESTE","2011.12","2242.3","5708","12800"
"93","SUL","2011.12","4653","4953","23046.8"
"94","NORTE/NORDESTE","2011.12","2991","2012","6016.4"
