"","UF","Safra","Area","Produtividade","Producao"
"1","RR","2000.01","11","1500","16.5"
"2","RO","2000.01","125","1650","206.3"
"3","AC","2000.01","30","1520","45.6"
"4","AM","2000.01","10.5","1505","15.8"
"5","AP","2000.01","1.8","778","1.4"
"6","PA","2000.01","318.8","1600","510.1"
"7","TO","2000.01","61.5","1959","120.5"
"8","MA","2000.01","322.9","960","310"
"9","PI","2000.01","278","520","144.6"
"10","CE","2000.01","612.8","400","245.1"
"11","RN","2000.01","83","96","8"
"12","PB","2000.01","140.1","60","8.4"
"13","PE","2000.01","270","160","43.2"
"14","AL","2000.01","77.9","1501","116.9"
"15","SE","2000.01","90","1100","99"
"16","BA","2000.01","705.5","1436","1013.1"
"17","MT","2000.01","542.9","3396","1843.6"
"18","MS","2000.01","545.9","3984","2174.7"
"19","GO","2000.01","906.1","4503","4080.4"
"20","DF","2000.01","33.7","4024","135.6"
"21","MG","2000.01","1246.4","3392","4227.8"
"22","ES","2000.01","46.9","2751","129"
"23","RJ","2000.01","14.4","1951","28.1"
"24","SP","2000.01","1144.2","3677","4207"
"25","PR","2000.01","2797","4424","12374.9"
"26","SC","2000.01","893","4420","3947.1"
"27","RS","2000.01","1663.2","3750","6237"
"28","RR","2001.02","9.5","3600","34.2"
"29","RO","2001.02","98","1820","178.4"
"30","AC","2001.02","33","1552","51.2"
"31","AM","2001.02","10.5","1400","14.7"
"32","AP","2001.02","2","750","1.5"
"33","PA","2001.02","275","1640","451"
"34","TO","2001.02","63.3","1961","124.1"
"35","MA","2001.02","324.5","1000","324.5"
"36","PI","2001.02","280","299","83.7"
"37","CE","2001.02","695.6","895","622.6"
"38","RN","2001.02","103.8","671","69.6"
"39","PB","2001.02","165.3","450","74.4"
"40","PE","2001.02","281","280","78.7"
"41","AL","2001.02","57","663","37.8"
"42","SE","2001.02","100.8","478","48.2"
"43","BA","2001.02","672.6","1063","715"
"44","MT","2001.02","738.6","2978","2199.8"
"45","MS","2001.02","481.2","2796","1345.6"
"46","GO","2001.02","746.3","4549","3394.7"
"47","DF","2001.02","28.2","5252","148.1"
"48","MG","2001.02","1201.6","3984","4787.7"
"49","ES","2001.02","50.2","2751","138.1"
"50","RJ","2001.02","11.8","2280","26.9"
"51","SP","2001.02","1083.5","3638","3941.7"
"52","PR","2001.02","2492.5","3757","9363.2"
"53","SC","2001.02","832","3733","3105.9"
"54","RS","2001.02","1460","2675","3905.5"
"55","RR","2002.03","8.9","4798","42.7"
"56","RO","2002.03","100","1840","184"
"57","AC","2002.03","34","1456","49.5"
"58","AM","2002.03","10.9","1440","15.7"
"59","AP","2002.03","1.5","800","1.2"
"60","PA","2002.03","293.4","1800","528.1"
"61","TO","2002.03","69","2290","158"
"62","MA","2002.03","360.2","1150","414.2"
"63","PI","2002.03","282.8","1016","287.3"
"64","CE","2002.03","713.7","1050","749.4"
"65","RN","2002.03","109.3","650","71"
"66","PB","2002.03","178.5","690","123.2"
"67","PE","2002.03","285.2","288","82.1"
"68","AL","2002.03","57","316","18"
"69","SE","2002.03","110.9","1200","133.1"
"70","BA","2002.03","797.3","1755","1399.2"
"71","MT","2002.03","879.3","3671","3227.8"
"72","MS","2002.03","701.9","4331","3039.7"
"73","GO","2002.03","715","4873","3484.3"
"74","DF","2002.03","31.6","5684","179.6"
"75","MG","2002.03","1269.1","4198","5327.3"
"76","ES","2002.03","52.7","2750","144.9"
"77","RJ","2002.03","9.7","2278","22.1"
"78","SP","2002.03","1091","4174","4553.4"
"79","PR","2002.03","2805.8","4867","13657.2"
"80","SC","2002.03","848.6","4990","4234.5"
"81","RS","2002.03","1408.9","3750","5283.4"
"82","RR","2003.04","17.3","2503","43.3"
"83","RO","2003.04","131.5","2058","275.4"
"84","AC","2003.04","38","1529","52"
"85","AM","2003.04","10.9","1440","15.7"
"86","AP","2003.04","1.5","800","1.2"
"87","PA","2003.04","286.5","1800","522.9"
"88","TO","2003.04","77.9","2290","179.2"
"89","MA","2003.04","371","1160","430.4"
"90","PI","2003.04","297.8","510","134"
"91","CE","2003.04","681.6","520","372.8"
"92","RN","2003.04","124.1","470","58.3"
"93","PB","2003.04","192.8","702","135.3"
"94","PE","2003.04","273.8","410","67.1"
"95","AL","2003.04","79","599","21.7"
"96","SE","2003.04","132","1200","126.2"
"97","BA","2003.04","734.9","2167","1656.8"
"98","MT","2003.04","970.9","3450","3446.4"
"99","MS","2003.04","628.3","3818","2353"
"100","GO","2003.04","676.8","4983","3372.3"
"101","DF","2003.04","32.9","5571","183.3"
"102","MG","2003.04","1346.5","4456","6000.4"
"103","ES","2003.04","49.5","2529","125.2"
"104","RJ","2003.04","11.4","2096","23.9"
"105","SP","2003.04","1058.1","4253","4499.6"
"106","PR","2003.04","2447.1","4574","11192.1"
"107","SC","2003.04","814.7","4100","3340.3"
"108","RS","2003.04","1296.2","2700","3499.7"
"109","RR","2004.05","13","2000","26"
"110","RO","2004.05","137.3","1950","267.8"
"111","AC","2004.05","42.5","1489","63.3"
"112","AM","2004.05","12.9","1938","25"
"113","AP","2004.05","1.5","867","1.3"
"114","PA","2004.05","281.6","2010","566"
"115","TO","2004.05","78.5","2018","158.4"
"116","MA","2004.05","385.8","1050","405.1"
"117","PI","2004.05","294.8","663","195.5"
"118","CE","2004.05","558.9","460","257.1"
"119","RN","2004.05","65.2","451","29.4"
"120","PB","2004.05","189.5","476","90.2"
"121","PE","2004.05","246.4","575","141.7"
"122","AL","2004.05","79","615","48.6"
"123","SE","2004.05","127.4","1300","165.6"
"124","BA","2004.05","802.6","2039","1636.2"
"125","MT","2004.05","1058.7","3197","3384.4"
"126","MS","2004.05","564.4","2475","1396.9"
"127","GO","2004.05","605","4653","2814.8"
"128","DF","2004.05","36.7","6185","227"
"129","MG","2004.05","1359.7","4539","6172.3"
"130","ES","2004.05","46","2600","119.6"
"131","RJ","2004.05","11.6","2276","26.4"
"132","SP","2004.05","1066.8","3735","3984.5"
"133","PR","2004.05","2106.1","3995","8414.3"
"134","SC","2004.05","798.4","3530","2818.4"
"135","RS","2004.05","1237.9","1269","1570.9"
"136","RR","2005.06","12.2","2000","24.4"
"137","RO","2005.06","142.3","2011","286.2"
"138","AC","2005.06","36.6","1459","53.4"
"139","AM","2005.06","12.9","1798","23.2"
"140","AP","2005.06","1.5","800","1.2"
"141","PA","2005.06","275.7","2078","572.9"
"142","TO","2005.06","75.4","2227","167.9"
"143","MA","2005.06","362.7","1170","424.4"
"144","PI","2005.06","290.1","804","233.2"
"145","CE","2005.06","638.8","1159","740.4"
"146","RN","2005.06","84","625","52.5"
"147","PB","2005.06","187.6","900","168.8"
"148","PE","2005.06","283.4","780","221.1"
"149","AL","2005.06","83.7","630","52.7"
"150","SE","2005.06","142.7","1330","189.8"
"151","BA","2005.06","777.9","1491","1159.5"
