"","regiao","Safra","Area","Produtividade","Producao"
"1","NORTE","2000.01","91.7","2362","216.6"
"2","NORDESTE","2000.01","962.6","2157","2075.9"
"3","CENTRO-OESTE","2000.01","5759.5","2952","17001.9"
"4","SUDESTE","2000.01","1172","2452","2873.9"
"5","SUL","2000.01","5984","2718","16263.5"
"6","NORTE/NORDESTE","2000.01","1054.3","2174","2292.5"
"7","CENTRO-SUL","2000.01","12915.5","2798","36139.3"
"8","BRASIL","2000.01","13969.8","2751","38431.8"
"9","NORTE","2001.02","141.1","2604","367.4"
"10","NORDESTE","2001.02","1125.1","1888","2124.6"
"11","CENTRO-OESTE","2001.02","6985","2940","20533.4"
"12","SUDESTE","2001.02","1296.7","2714","3519.8"
"13","SUL","2001.02","6838.3","2294","15684.8"
"14","NORTE/NORDESTE","2001.02","1266.2","1968","2492"
"15","CENTRO-SUL","2001.02","15120","2628","39738"
"16","BRASIL","2001.02","16386.2","2577","42230"
"17","NORTE","2002.03","209.7","2659","557.5"
"18","NORDESTE","2002.03","1240.7","2031","2519.3"
"19","CENTRO-OESTE","2002.03","8048.4","2924","23532.5"
"20","SUDESTE","2002.03","1488.9","2732","4067.6"
"21","SUL","2002.03","7487.1","2850","21340.6"
"22","NORTE/NORDESTE","2002.03","1450.4","2121","3076.8"
"23","CENTRO-SUL","2002.03","17024.4","2875","48940.7"
"24","BRASIL","2002.03","18474.8","2816","52017.5"
"25","NORTE","2003.04","352.4","2593","913.7"
"26","NORDESTE","2003.04","1323.3","2674","3538.9"
"27","CENTRO-OESTE","2003.04","9659.3","2548","24613.1"
"28","SUDESTE","2003.04","1826.9","2449","4474.4"
"29","SUL","2003.04","8213.9","1979","16252.6"
"30","NORTE/NORDESTE","2003.04","1675.7","2657","4452.6"
"31","CENTRO-SUL","2003.04","19700.1","2302","45340.1"
"32","BRASIL","2003.04","21375.8","2329","49792.7"
"33","NORTE","2004.05","521.9","2721","1419.9"
"34","NORDESTE","2004.05","1442.1","2741","3953.1"
"35","CENTRO-OESTE","2004.05","10857","2669","28973.5"
"36","SUDESTE","2004.05","1891.6","2512","4752"
"37","SUL","2004.05","8588.5","1538","13206.2"
"38","NORTE/NORDESTE","2004.05","1964","2736","5373"
"39","CENTRO-SUL","2004.05","21337.1","2200","46931.6"
"40","BRASIL","2004.05","23301.1","2245","52304.6"
"41","NORTE","2005.06","507.5","2473","1255.2"
"42","NORDESTE","2005.06","1487.1","2395","3560.9"
"43","CENTRO-OESTE","2005.06","10742.6","2590","27824.7"
"44","SUDESTE","2005.06","1717.5","2409","4137.1"
"45","SUL","2005.06","8294.7","2200","18249.2"
"46","NORTE/NORDESTE","2005.06","1994.6","2415","4816.1"
"47","CENTRO-SUL","2005.06","20754.8","2419","50211"
"48","BRASIL","2005.06","22749.4","2419","55027.1"
"49","NORTE","2006.07","410.6","2630.1838772528","1079.9"
"50","NORDESTE","2006.07","1454.9","2658.01388411575","3867.2"
"51","CENTRO-OESTE","2006.07","9105.1","2909.88173660915","26494.8"
"52","SUDESTE","2006.07","1468.8","2727.00980392157","4005.4"
"53","SUL","2006.07","8247.4","2782.03124621093","22944.5"
"54","NORTE/NORDESTE","2006.07","1865.5","2651.88844813723","4947.1"
"55","CENTRO-SUL","2006.07","18821.3","2839.58710078475","53444.7"
"56","BRASIL","2006.07","20686.8","2822.66075951815","58391.8"
"57","NORTE","2007.08","517.5","2845","1472.4"
"58","NORDESTE","2007.08","1580.1","3057","4829.8"
"59","CENTRO-OESTE","2007.08","9634.8","3022","29114"
"60","SUDESTE","2007.08","1396","2853","3983.4"
"61","SUL","2007.08","8184.7","2519","20618.1"
"62","NORTE/NORDESTE","2007.08","2097.6","3004","6302.2"
"63","CENTRO-SUL","2007.08","19215.5","2795","53715.5"
"64","BRASIL","2007.08","21313.1","2816","60017.7"
"65","NORTE","2008.09","497.6","2841","1414"
"66","NORDESTE","2008.09","1608","2588","4161.9"
"67","CENTRO-OESTE","2008.09","9900.1","2943","29134.9"
"68","SUDESTE","2008.09","1460.4","2778","4057.6"
"69","SUL","2008.09","8277","2223","18397.1"
"70","NORTE/NORDESTE","2008.09","2105.6","2648","5575.9"
"71","CENTRO-SUL","2008.09","19637.5","2627","51589.6"
"72","BRASIL","2008.09","21743.1","2629","57165.5"
"73","NORTE","2009.10","574.9","2943","1691.7"
"74","NORDESTE","2009.10","1861.7","2852","5309.5"
"75","CENTRO-OESTE","2009.10","10539.2","2997","31586.7"
"76","SUDESTE","2009.10","1591.2","2801","4457.6"
"77","SUL","2009.10","8900.9","2881","25642.7"
"78","NORTE/NORDESTE","2009.10","2436.6","2873","7001.2"
"79","CENTRO-SUL","2009.10","21031.3","2933","61687"
"80","BRASIL","2009.10","23467.9","2927","68688.2"
