"","UF","Safra","Area","Produtividade","Producao"
"1","RR","2000.01","0","0","0"
"2","RO","2000.01","25","3060","76.5"
"3","AC","2000.01","0","0","0"
"4","AM","2000.01","0","0","0"
"5","AP","2000.01","0","0","0"
"6","PA","2000.01","0.7","2100","1.5"
"7","TO","2000.01","66","2100","138.6"
"8","MA","2000.01","210","2300","483"
"9","PI","2000.01","62","2300","142.6"
"10","CE","2000.01","0","0","0"
"11","RN","2000.01","0","0","0"
"12","PB","2000.01","0","0","0"
"13","PE","2000.01","0","0","0"
"14","AL","2000.01","0","0","0"
"15","SE","2000.01","0","0","0"
"16","BA","2000.01","690.6","2100","1450.3"
"17","MT","2000.01","3120","3090","9640.8"
"18","MS","2000.01","1064.5","2940","3129.6"
"19","GO","2000.01","1540","2700","4158"
"20","DF","2000.01","35","2100","73.5"
"21","MG","2000.01","642","2330","1495.9"
"22","ES","2000.01","0","0","0"
"23","RJ","2000.01","0","0","0"
"24","SP","2000.01","530","2600","1378"
"25","PR","2000.01","2818","3060","8623.1"
"26","SC","2000.01","196","2690","527.2"
"27","RS","2000.01","2970","2395","7113.2"
"28","RR","2001.02","3.5","2800","9.8"
"29","RO","2001.02","28.6","2972","85"
"30","AC","2001.02","0","0","0"
"31","AM","2001.02","1.1","2571","2.8"
"32","AP","2001.02","0","0","0"
"33","PA","2001.02","2.9","2520","7.3"
"34","TO","2001.02","105","2500","262.5"
"35","MA","2001.02","238.3","2390","569.5"
"36","PI","2001.02","86.8","1050","91.1"
"37","CE","2001.02","0","0","0"
"38","RN","2001.02","0","0","0"
"39","PB","2001.02","0","0","0"
"40","PE","2001.02","0","0","0"
"41","AL","2001.02","0","0","0"
"42","SE","2001.02","0","0","0"
"43","BA","2001.02","800","1830","1464"
"44","MT","2001.02","3853.2","3045","11733"
"45","MS","2001.02","1192.2","2750","3278.6"
"46","GO","2001.02","1901.9","2850","5420.4"
"47","DF","2001.02","37.7","2690","101.4"
"48","MG","2001.02","719","2710","1948.5"
"49","ES","2001.02","0","0","0"
"50","RJ","2001.02","0","0","0"
"51","SP","2001.02","577.7","2720","1571.3"
"52","PR","2001.02","3291.4","2887","9502.3"
"53","SC","2001.02","241.3","2265","546.5"
"54","RS","2001.02","3305.6","1705","5636"
"55","RR","2002.03","3","2400","7.2"
"56","RO","2002.03","41","3000","123"
"57","AC","2002.03","0","0","0"
"58","AM","2002.03","2.1","2571","5.4"
"59","AP","2002.03","0","0","0"
"60","PA","2002.03","15.5","2850","44.2"
"61","TO","2002.03","148.1","2550","377.7"
"62","MA","2002.03","274","2390","654.9"
"63","PI","2002.03","116.3","2650","308.2"
"64","CE","2002.03","0","0","0"
"65","RN","2002.03","0","0","0"
"66","PB","2002.03","0","0","0"
"67","PE","2002.03","0","0","0"
"68","AL","2002.03","0","0","0"
"69","SE","2002.03","0","0","0"
"70","BA","2002.03","850.4","1830","1556.2"
"71","MT","2002.03","4419.6","2930","12949.4"
"72","MS","2002.03","1415.1","2900","4103.8"
"73","GO","2002.03","2170.5","2930","6359.6"
"74","DF","2002.03","43.2","2770","119.7"
"75","MG","2002.03","873.6","2670","2332.5"
"76","ES","2002.03","0","0","0"
"77","RJ","2002.03","0","0","0"
"78","SP","2002.03","615.3","2820","1735.1"
"79","PR","2002.03","3637.6","3016","10971"
"80","SC","2002.03","255.8","2887","738.5"
"81","RS","2002.03","3593.7","2680","9631.1"
"82","RR","2003.04","12","2400","28.8"
"83","RO","2003.04","59.5","2990","177.9"
"84","AC","2003.04","0","0","0"
"85","AM","2003.04","2.1","2571","5.4"
"86","AP","2003.04","0","0","0"
"87","PA","2003.04","35.2","2700","95"
"88","TO","2003.04","243.6","2490","606.6"
"89","MA","2003.04","342.5","2698","924.1"
"90","PI","2003.04","159.3","2490","396.7"
"91","CE","2003.04","0","0","0"
"92","RN","2003.04","0","0","0"
"93","PB","2003.04","0","0","0"
"94","PE","2003.04","0","0","0"
"95","AL","2003.04","0","0","0"
"96","SE","2003.04","0","0","0"
"97","BA","2003.04","821.5","2700","2218.1"
"98","MT","2003.04","5240.5","2864","15008.8"
"99","MS","2003.04","1797.2","1850","3324.8"
"100","GO","2003.04","2572","2390","6147.1"
"101","DF","2003.04","49.6","2670","132.4"
"102","MG","2003.04","1065.8","2495","2659.2"
"103","ES","2003.04","0","0","0"
"104","RJ","2003.04","0","0","0"
"105","SP","2003.04","761.1","2385","1815.2"
"106","PR","2003.04","3935.9","2550","10036.5"
"107","SC","2003.04","307","2139","656.7"
"108","RS","2003.04","3971","1400","5559.4"
"109","RR","2004.05","20","2800","56"
"110","RO","2004.05","74.4","3054","227.2"
"111","AC","2004.05","0","0","0"
"112","AM","2004.05","2.8","3000","8.4"
"113","AP","2004.05","0","0","0"
"114","PA","2004.05","69","3000","207"
"115","TO","2004.05","355.7","2590","921.3"
"116","MA","2004.05","375","2660","997.5"
"117","PI","2004.05","197.1","2813","554.4"
"118","CE","2004.05","0","0","0"
"119","RN","2004.05","0","0","0"
"120","PB","2004.05","0","0","0"
"121","PE","2004.05","0","0","0"
"122","AL","2004.05","0","0","0"
"123","SE","2004.05","0","0","0"
"124","BA","2004.05","870","2760","2401.2"
"125","MT","2004.05","6105.2","2938","17937.1"
"126","MS","2004.05","2030.8","1902","3862.6"
"127","GO","2004.05","2662","2624","6985.1"
"128","DF","2004.05","59","3198","188.7"
"129","MG","2004.05","1119.1","2700","3021.6"
"130","ES","2004.05","0","0","0"
"131","RJ","2004.05","0","0","0"
"132","SP","2004.05","772.5","2240","1730.4"
"133","PR","2004.05","4148.4","2340","9707.3"
"134","SC","2004.05","350","1840","644"
"135","RS","2004.05","4090.1","698","2854.9"
"136","RR","2005.06","10","2800","28"
"137","RO","2005.06","106.4","2660","283"
"138","AC","2005.06","0","0","0"
"139","AM","2005.06","1.9","3000","5.7"
"140","AP","2005.06","0","0","0"
"141","PA","2005.06","79.7","2987","238.1"
"142","TO","2005.06","309.5","2263","700.4"
"143","MA","2005.06","382.5","2680","1025.1"
"144","PI","2005.06","232","2347","544.5"
"145","CE","2005.06","0","0","0"
"146","RN","2005.06","0","0","0"
"147","PB","2005.06","0","0","0"
"148","PE","2005.06","0","0","0"
"149","AL","2005.06","0","0","0"
"150","SE","2005.06","0","0","0"
"151","BA","2005.06","872.6","2282","1991.3"
"152","MT","2005.06","6196.8","2695","16700.4"
"153","MS","2005.06","1949.6","2280","4445.1"
"154","GO","2005.06","2542.2","2570","6533.5"
"155","DF","2005.06","54","2699","145.7"
"156","MG","2005.06","1060.9","2340","2482.5"
"157","ES","2005.06","0","0","0"
"158","RJ","2005.06","0","0","0"
"159","SP","2005.06","656.6","2520","1654.6"
"160","PR","2005.06","3982.5","2422","9645.6"
"161","SC","2005.06","344.8","2400","827.5"
"162","RS","2005.06","3967.4","1960","7776.1"
"163","RR","2006.07","5.5","2800","15.4"
"164","RO","2006.07","90.4","3070","277.5"
"165","AC","2006.07","0","0","0"
"166","AM","2006.07","0","0","0"
"167","AP","2006.07","0","0","0"
