"","regiao","Safra","Area","Produtividade","Producao"
"1","NORTE","2000","0","0","0"
"2","NORDESTE","2000","0","0","0"
"3","CENTRO-OESTE","2000","72.2","1177","85"
"4","SUDESTE","2000","24.2","2054","49.7"
"5","SUL","2000","1371.7","1111","1523.7"
"6","NORTE/NORDESTE","2000","0","0","0"
"7","CENTRO-SUL","2000","1468.1","1130","1658.4"
"8","BRASIL","2000","1468.1","1130","1658.4"
"9","NORTE","2001","0","0","0"
"10","NORDESTE","2001","0","0","0"
"11","CENTRO-OESTE","2001","69","1675","115.6"
"12","SUDESTE","2001","24.9","2582","64.3"
"13","SUL","2001","1616.3","1865","3014.3"
"14","NORTE/NORDESTE","2001","0","0","0"
"15","CENTRO-SUL","2001","1710.2","1868","3194.2"
"16","BRASIL","2001","1710.2","1868","3194.2"
"17","NORTE","2002","0","0","0"
"18","NORDESTE","2002","0","0","0"
"19","CENTRO-OESTE","2002","112.6","1170","131.7"
"20","SUDESTE","2002","41","2080","85.3"
"21","SUL","2002","1898","1421","2696.9"
"22","NORTE/NORDESTE","2002","0","0","0"
"23","CENTRO-SUL","2002","2051.6","1420","2913.9"
"24","BRASIL","2002","2051.6","1420","2913.9"
"25","NORTE","2003","0","0","0"
"26","NORDESTE","2003","0.5","5000","2.5"
"27","CENTRO-OESTE","2003","133.5","2330","311"
"28","SUDESTE","2003","64.1","2612","167.4"
"29","SUL","2003","2529.2","2211","5592.6"
"30","NORTE/NORDESTE","2003","0.5","5000","2.5"
"31","CENTRO-SUL","2003","2726.8","2226","6071"
"32","BRASIL","2003","2727.3","2227","6073.5"
"33","NORTE","2004","0","0","0"
"34","NORDESTE","2004","0.5","5000","2.5"
"35","CENTRO-OESTE","2004","159.4","1870","298"
"36","SUDESTE","2004","67.2","2842","191"
"37","SUL","2004","2529.2","2117","5354.4"
"38","NORTE/NORDESTE","2004","0.5","5000","2.5"
"39","CENTRO-SUL","2004","2755.8","2120","5843.4"
"40","BRASIL","2004","2756.3","2121","5845.9"
"41","NORTE","2005","0","0","0"
"42","NORDESTE","2005","0.5","5000","2.5"
"43","CENTRO-OESTE","2005","108.7","1787","194.2"
"44","SUDESTE","2005","70.8","2766","195.8"
"45","SUL","2005","2181.8","2054","4480.6"
"46","NORTE/NORDESTE","2005","0.5","5000","2.5"
"47","CENTRO-SUL","2005","2361.3","2063","4870.6"
"48","BRASIL","2005","2361.8","2063","4873.1"
"49","NORTE","2006","0","0","0"
"50","NORDESTE","2006","0","0","0"
