"","UF","Safra","Area","Produtividade","Producao"
"1","RR","2000","0","0","0"
"2","RO","2000","0","0","0"
"3","AC","2000","0","0","0"
"4","AM","2000","0","0","0"
"5","AP","2000","0","0","0"
"6","PA","2000","0","0","0"
"7","TO","2000","0","0","0"
"8","MA","2000","0","0","0"
"9","PI","2000","0","0","0"
"10","CE","2000","0","0","0"
"11","RN","2000","0","0","0"
"12","PB","2000","0","0","0"
"13","PE","2000","0","0","0"
"14","AL","2000","0","0","0"
"15","SE","2000","0","0","0"
"16","BA","2000","0","0","0"
"17","MT","2000","0","0","0"
"18","MS","2000","64.9","1160","75.3"
"19","GO","2000","6.8","1090","7.4"
"20","DF","2000","0.5","4535","2.3"
"21","MG","2000","5.5","4100","22.6"
"22","ES","2000","0","0","0"
"23","RJ","2000","0","0","0"
"24","SP","2000","18.7","1450","27.1"
"25","PR","2000","780.3","737","575.1"
"26","SC","2000","34.4","1670","57.4"
"27","RS","2000","557","1600","891.2"
"28","RR","2001","0","0","0"
"29","RO","2001","0","0","0"
"30","AC","2001","0","0","0"
"31","AM","2001","0","0","0"
"32","AP","2001","0","0","0"
"33","PA","2001","0","0","0"
"34","TO","2001","0","0","0"
"35","MA","2001","0","0","0"
"36","PI","2001","0","0","0"
"37","CE","2001","0","0","0"
"38","RN","2001","0","0","0"
"39","PB","2001","0","0","0"
"40","PE","2001","0","0","0"
"41","AL","2001","0","0","0"
"42","SE","2001","0","0","0"
"43","BA","2001","0","0","0"
"44","MT","2001","0","0","0"
"45","MS","2001","60.7","1700","103.2"
"46","GO","2001","7.8","1300","10.1"
"47","DF","2001","0.5","4535","2.3"
"48","MG","2001","5.3","4000","21.2"
"49","ES","2001","0","0","0"
"50","RJ","2001","0","0","0"
"51","SP","2001","19.6","2200","43.1"
"52","PR","2001","963.5","1985","1912.5"
"53","SC","2001","51.2","1545","79.1"
"54","RS","2001","601.6","1700","1022.7"
"55","RR","2002","0","0","0"
"56","RO","2002","0","0","0"
"57","AC","2002","0","0","0"
"58","AM","2002","0","0","0"
"59","AP","2002","0","0","0"
"60","PA","2002","0","0","0"
"61","TO","2002","0","0","0"
"62","MA","2002","0","0","0"
"63","PI","2002","0","0","0"
"64","CE","2002","0","0","0"
"65","RN","2002","0","0","0"
"66","PB","2002","0","0","0"
"67","PE","2002","0","0","0"
"68","AL","2002","0","0","0"
"69","SE","2002","0","0","0"
"70","BA","2002","0","0","0"
"71","MT","2002","0","0","0"
"72","MS","2002","91.6","920","84.3"
"73","GO","2002","20.5","2200","45.1"
"74","DF","2002","0.5","4535","2.3"
"75","MG","2002","6","4300","25.8"
"76","ES","2002","0","0","0"
"77","RJ","2002","0","0","0"
"78","SP","2002","35","1700","59.5"
"79","PR","2002","1055","1430","1508.7"
"80","SC","2002","53","1550","82.2"
"81","RS","2002","790","1400","1106"
"82","RR","2003","0","0","0"
"83","RO","2003","0","0","0"
"84","AC","2003","0","0","0"
"85","AM","2003","0","0","0"
"86","AP","2003","0","0","0"
"87","PA","2003","0","0","0"
"88","TO","2003","0","0","0"
"89","MA","2003","0","0","0"
"90","PI","2003","0","0","0"
"91","CE","2003","0","0","0"
"92","RN","2003","0","0","0"
"93","PB","2003","0","0","0"
"94","PE","2003","0","0","0"
"95","AL","2003","0","0","0"
"96","SE","2003","0","0","0"
"97","BA","2003","0.5","5000","2.5"
"98","MT","2003","0.5","3300","1.7"
"99","MS","2003","111.6","1980","221"
"100","GO","2003","20.2","4100","82.8"
"101","DF","2003","1.2","4600","5.5"
"102","MG","2003","11.7","4450","52.1"
"103","ES","2003","0","0","0"
"104","RJ","2003","0","0","0"
"105","SP","2003","52.4","2200","115.3"
"106","PR","2003","1350.6","2350","3173.9"
"107","SC","2003","80.5","2150","173.1"
"108","RS","2003","1098.1","2045","2245.6"
"109","RR","2004","0","0","0"
"110","RO","2004","0","0","0"
"111","AC","2004","0","0","0"
"112","AM","2004","0","0","0"
"113","AP","2004","0","0","0"
"114","PA","2004","0","0","0"
"115","TO","2004","0","0","0"
"116","MA","2004","0","0","0"
"117","PI","2004","0","0","0"
"118","CE","2004","0","0","0"
"119","RN","2004","0","0","0"
"120","PB","2004","0","0","0"
"121","PE","2004","0","0","0"
"122","AL","2004","0","0","0"
"123","SE","2004","0","0","0"
"124","BA","2004","0.5","5000","2.5"
"125","MT","2004","0.5","3300","1.7"
"126","MS","2004","136","1500","204"
"127","GO","2004","21.7","4000","86.8"
"128","DF","2004","1.2","4600","5.5"
"129","MG","2004","13.7","4450","61"
"130","ES","2004","0","0","0"
"131","RJ","2004","0","0","0"
"132","SP","2004","53.5","2429","130"
"133","PR","2004","1350.6","2250","3038.9"
"134","SC","2004","80.5","2300","185.2"
"135","RS","2004","1098.1","1940","2130.3"
"136","RR","2005","0","0","0"
"137","RO","2005","0","0","0"
"138","AC","2005","0","0","0"
"139","AM","2005","0","0","0"
"140","AP","2005","0","0","0"
"141","PA","2005","0","0","0"
"142","TO","2005","0","0","0"
"143","MA","2005","0","0","0"
"144","PI","2005","0","0","0"
"145","CE","2005","0","0","0"
"146","RN","2005","0","0","0"
"147","PB","2005","0","0","0"
"148","PE","2005","0","0","0"
"149","AL","2005","0","0","0"
"150","SE","2005","0","0","0"
"151","BA","2005","0.5","5000","2.5"
"152","MT","2005","0.5","3300","1.7"
"153","MS","2005","95.2","1420","135.2"
"154","GO","2005","11.9","4300","51.2"
"155","DF","2005","1.1","5500","6.1"
"156","MG","2005","14.6","4360","63.7"
"157","ES","2005","0","0","0"
"158","RJ","2005","0","0","0"
"159","SP","2005","56.2","2350","132.1"
"160","PR","2005","1276.3","2195","2801.5"
"161","SC","2005","60","1915","114.9"
"162","RS","2005","845.5","1850","1564.2"
"163","RR","2006","0","0","0"
"164","RO","2006","0","0","0"
"165","AC","2006","0","0","0"
"166","AM","2006","0","0","0"
"167","AP","2006","0","0","0"
"168","PA","2006","0","0","0"
"169","TO","2006","0","0","0"
"170","MA","2006","0","0","0"
"171","PI","2006","0","0","0"
"172","CE","2006","0","0","0"
"173","RN","2006","0","0","0"
"174","PB","2006","0","0","0"
"175","PE","2006","0","0","0"
"176","AL","2006","0","0","0"
"177","SE","2006","0","0","0"
"178","BA","2006","0","0","0"
"179","MT","2006","0","0","0"
"180","MS","2006","50.5","1230","62.1"
"181","GO","2006","10.1","4576","46.2"
"182","DF","2006","1.2","5000","6"
"183","MG","2006","12.5","4500","56.3"
"184","ES","2006","0","0","0"
"185","RJ","2006","0","0","0"
"186","SP","2006","48.9","1658","81.1"
"187","PR","2006","880.6","1280","1127.2"
"188","SC","2006","60.4","2100","126.8"
"189","RS","2006","693.3","1050","728"
"190","RR","2007","0","0","0"
"191","RO","2007","0","0","0"
"192","AC","2007","0","0","0"
"193","AM","2007","0","0","0"
"194","AP","2007","0","0","0"
"195","PA","2007","0","0","0"
"196","TO","2007","0","0","0"
"197","MA","2007","0","0","0"
"198","PI","2007","0","0","0"
"199","CE","2007","0","0","0"
"200","RN","2007","0","0","0"
"201","PB","2007","0","0","0"
"202","PE","2007","0","0","0"
"203","AL","2007","0","0","0"
"204","SE","2007","0","0","0"
"205","BA","2007","0","0","0"
"206","MT","2007","0","0","0"
"207","MS","2007","31.7","1260.52274805309","40"
"208","GO","2007","10.5","4562.069","47.9"
"209","DF","2007","2.9","5225","15.2"
"210","MG","2007","11.3","4390.032","49.6"
"211","ES","2007","0","0","0"
"212","RJ","2007","0","0","0"
"213","SP","2007","44","2240","98.6"
"214","PR","2007","821.3","2340","1921.8"
"215","SC","2007","81.7","2490","203.4"
"216","RS","2007","848.4","2028","1720.6"
"217","RR","2008","0","0","0"
"218","RO","2008","0","0","0"
"219","AC","2008","0","0","0"
"220","AM","2008","0","0","0"
"221","AP","2008","0","0","0"
"222","PA","2008","0","0","0"
"223","TO","2008","0","0","0"
"224","MA","2008","0","0","0"
"225","PI","2008","0","0","0"
"226","CE","2008","0","0","0"
"227","RN","2008","0","0","0"
"228","PB","2008","0","0","0"
"229","PE","2008","0","0","0"
"230","AL","2008","0","0","0"
"231","SE","2008","0","0","0"
"232","BA","2008","0","0","0"
"233","MT","2008","0","0","0"
"234","MS","2008","46.2","1462","67.5"
"235","GO","2008","19.1","4413","84.3"
"236","DF","2008","2.9","5246","15.2"
"237","MG","2008","20.3","4709","95.6"
"238","ES","2008","0","0","0"
"239","RJ","2008","0","0","0"
"240","SP","2008","79.6","2130","169.5"
"241","PR","2008","1125.2","2728","3069.5"
"242","SC","2008","122.6","2641","323.8"
"243","RS","2008","980.3","2100","2058.6"
"244","RR","2009","0","0","0"
"245","RO","2009","0","0","0"
"246","AC","2009","0","0","0"
"247","AM","2009","0","0","0"
"248","AP","2009","0","0","0"
"249","PA","2009","0","0","0"
"250","TO","2009","0","0","0"
"251","MA","2009","0","0","0"
"252","PI","2009","0","0","0"
"253","CE","2009","0","0","0"
"254","RN","2009","0","0","0"
"255","PB","2009","0","0","0"
"256","PE","2009","0","0","0"
"257","AL","2009","0","0","0"
"258","SE","2009","0","0","0"
"259","BA","2009","0","0","0"
"260","MT","2009","0","0","0"
"261","MS","2009","42.4","1713","72.6"
"262","GO","2009","22.6","3764","85.1"
"263","DF","2009","2.5","5650","14.1"
"264","MG","2009","22.8","4303","98.1"
"265","ES","2009","0","0","0"
"266","RJ","2009","0","0","0"
"267","SP","2009","61.3","2070","126.9"
"268","PR","2009","1299.6","1955","2540.7"
"269","SC","2009","117","2420","283.1"
"270","RS","2009","859.8","2100","1805.6"
"271","RR","2010","0","0","0"
"272","RO","2010","0","0","0"
"273","AC","2010","0","0","0"
"274","AM","2010","0","0","0"
"275","AP","2010","0","0","0"
"276","PA","2010","0","0","0"
"277","TO","2010","0","0","0"
"278","MA","2010","0","0","0"
"279","PI","2010","0","0","0"
"280","CE","2010","0","0","0"
"281","RN","2010","0","0","0"
"282","PB","2010","0","0","0"
"283","PE","2010","0","0","0"
"284","AL","2010","0","0","0"
"285","SE","2010","0","0","0"
"286","BA","2010","0","0","0"
"287","MT","2010","0","0","0"
"288","MS","2010","38.6","1900","73.34"
"289","GO","2010","15.8","4733","74.7814"
"290","DF","2010","1","5079","5.079"
"291","MG","2010","22.5","3908","85.275"
"292","ES","2010","0","0","0"
"293","RJ","2010","0","0","0"
"294","SP","2010","44.3","2380","111.3259"
"295","PR","2010","1146.6","2891","3314.8206"
"296","SC","2010","87.9","2420","242.1645"
"297","RS","2010","793.1","2490","1974.819"
"298","RR","2011","0","0","0"
"299","RO","2011","0","0","0"
"300","AC","2011","0","0","0"
"301","AM","2011","0","0","0"
"302","AP","2011","0","0","0"
"303","PA","2011","0","0","0"
"304","TO","2011","0","0","0"
"305","MA","2011","0","0","0"
"306","PI","2011","0","0","0"
"307","CE","2011","0","0","0"
"308","RN","2011","0","0","0"
"309","PB","2011","0","0","0"
"310","PE","2011","0","0","0"
"311","AL","2011","0","0","0"
"312","SE","2011","0","0","0"
"313","BA","2011","0","0","0"
"314","MT","2011","0","0","0"
"315","MS","2011","32","1340","42.9"
"316","GO","2011","12.2","4949","60.4"
"317","DF","2011","1.1","5200","5.7"
"318","MG","2011","23","3917","90.1"
"319","ES","2011","0","0","0"
"320","RJ","2011","0","0","0"
"321","SP","2011","47","2355","110.7"
"322","PR","2011","1042.5","2399","2501"
"323","SC","2011","76","3100","235.6"
"324","RS","2011","932.4","2941","2742.2"
"325","RR","2012","0","0","0"
"326","RO","2012","0","0","0"
"327","AC","2012","0","0","0"
"328","AM","2012","0","0","0"
"329","AP","2012","0","0","0"
"330","PA","2012","0","0","0"
"331","TO","2012","0","0","0"
"332","MA","2012","0","0","0"
"333","PI","2012","0","0","0"
"334","CE","2012","0","0","0"
"335","RN","2012","0","0","0"
"336","PB","2012","0","0","0"
"337","PE","2012","0","0","0"
"338","AL","2012","0","0","0"
"339","SE","2012","0","0","0"
"340","BA","2012","0","0","0"
"341","MT","2012","0","0","0"
"342","MS","2012","15","1600","24"
"343","GO","2012","9","4400","39.6"
"344","DF","2012","0.8","5700","4.6"
"345","MG","2012","21.5","3753","80.7"
"346","ES","2012","0","0","0"
"347","RJ","2012","0","0","0"
"348","SP","2012","32","2553","81.7"
"349","PR","2012","773.8","2730","2112.5"
"350","SC","2012","67.1","2110","141.6"
"351","RS","2012","976.2","1941","1894.8"
"352","RR","2013","0","0","0"
"353","RO","2013","0","0","0"
"354","AC","2013","0","0","0"
"355","AM","2013","0","0","0"
"356","AP","2013","0","0","0"
"357","PA","2013","0","0","0"
"358","TO","2013","0","0","0"
"359","MA","2013","0","0","0"
"360","PI","2013","0","0","0"
"361","CE","2013","0","0","0"
"362","RN","2013","0","0","0"
"363","PB","2013","0","0","0"
"364","PE","2013","0","0","0"
"365","AL","2013","0","0","0"
"366","SE","2013","0","0","0"
"367","BA","2013","0","0","0"
"368","MT","2013","0","0","0"
"369","MS","2013","8.5","900","7.7"
"370","GO","2013","7.3","5390","39.3"
"371","DF","2013","1.8","7000","12.6"
"372","MG","2013","36.2","3309","119.8"
"373","ES","2013","0","0","0"
"374","RJ","2013","0","0","0"
"375","SP","2013","51.9","1749","90.8"
"376","PR","2013","992.8","1856","1842.6"
"377","SC","2013","72.6","3260","236.7"
"378","RS","2013","1038.7","3060","3178.4"
"379","RR","2014Prev","0","0","0"
"380","RO","2014Prev","0","0","0"
"381","AC","2014Prev","0","0","0"
"382","AM","2014Prev","0","0","0"
"383","AP","2014Prev","0","0","0"
"384","PA","2014Prev","0","0","0"
"385","TO","2014Prev","0","0","0"
"386","MA","2014Prev","0","0","0"
"387","PI","2014Prev","0","0","0"
