Commodity2,Attribute,Description,YearProjected2,Year2,Value
Corn,Beginning stocks,Million bushels,2000,1998/1999,1308
Corn,Beginning stocks,Million bushels,2000,1999/2000,1796
Corn,Beginning stocks,Million bushels,2000,2000/2001,2039
Corn,Beginning stocks,Million bushels,2000,2001/2002,2029
Corn,Beginning stocks,Million bushels,2000,2002/2003,1854
Corn,Beginning stocks,Million bushels,2000,2003/2004,1449
Corn,Beginning stocks,Million bushels,2000,2004/2005,1324
Corn,Beginning stocks,Million bushels,2000,2005/2006,1204
Corn,Beginning stocks,Million bushels,2000,2006/2007,1089
Corn,Beginning stocks,Million bushels,2000,2007/2008,954
Corn,Beginning stocks,Million bushels,2000,2008/2009,804
Corn,Beginning stocks,Million bushels,2000,2009/2010,714
Corn,Beginning stocks,Million bushels,2001,1999/2000,1787
Corn,Beginning stocks,Million bushels,2001,2000/2001,1715
Corn,Beginning stocks,Million bushels,2001,2001/2002,1817
Corn,Beginning stocks,Million bushels,2001,2002/2003,1447
Corn,Beginning stocks,Million bushels,2001,2003/2004,1187
Corn,Beginning stocks,Million bushels,2001,2004/2005,1102
Corn,Beginning stocks,Million bushels,2001,2005/2006,1142
Corn,Beginning stocks,Million bushels,2001,2006/2007,1102
Corn,Beginning stocks,Million bushels,2001,2007/2008,1022
Corn,Beginning stocks,Million bushels,2001,2008/2009,992
Corn,Beginning stocks,Million bushels,2001,2009/2010,927
Corn,Beginning stocks,Million bushels,2001,2010/2011,917
Corn,Beginning stocks,Million bushels,2002,2000/2001,1718
Corn,Beginning stocks,Million bushels,2002,2001/2002,1899
Corn,Beginning stocks,Million bushels,2002,2002/2003,1458
Corn,Beginning stocks,Million bushels,2002,2003/2004,1428
Corn,Beginning stocks,Million bushels,2002,2004/2005,1298
Corn,Beginning stocks,Million bushels,2002,2005/2006,1228
Corn,Beginning stocks,Million bushels,2002,2006/2007,1193
Corn,Beginning stocks,Million bushels,2002,2007/2008,1218
Corn,Beginning stocks,Million bushels,2002,2008/2009,1133
Corn,Beginning stocks,Million bushels,2002,2009/2010,1053
Corn,Beginning stocks,Million bushels,2002,2010/2011,988
Corn,Beginning stocks,Million bushels,2002,2011/2012,988
Corn,Beginning stocks,Million bushels,2003,2001/2002,1899
Corn,Beginning stocks,Million bushels,2003,2002/2003,1599
Corn,Beginning stocks,Million bushels,2003,2003/2004,848
Corn,Beginning stocks,Million bushels,2003,2004/2005,1148
Corn,Beginning stocks,Million bushels,2003,2005/2006,1348
Corn,Beginning stocks,Million bushels,2003,2006/2007,1348
Corn,Beginning stocks,Million bushels,2003,2007/2008,1308
Corn,Beginning stocks,Million bushels,2003,2008/2009,1258
Corn,Beginning stocks,Million bushels,2003,2009/2010,1243
Corn,Beginning stocks,Million bushels,2003,2010/2011,1243
Corn,Beginning stocks,Million bushels,2003,2011/2012,1178
Corn,Beginning stocks,Million bushels,2003,2012/2013,1103
Corn,Beginning stocks,Million bushels,2004,2002/2003,1596
Corn,Beginning stocks,Million bushels,2004,2003/2004,1086
Corn,Beginning stocks,Million bushels,2004,2004/2005,1349
Corn,Beginning stocks,Million bushels,2004,2005/2006,1289
Corn,Beginning stocks,Million bushels,2004,2006/2007,1244
Corn,Beginning stocks,Million bushels,2004,2007/2008,1174
Corn,Beginning stocks,Million bushels,2004,2008/2009,1149
Corn,Beginning stocks,Million bushels,2004,2009/2010,1174
Corn,Beginning stocks,Million bushels,2004,2010/2011,1169
Corn,Beginning stocks,Million bushels,2004,2011/2012,1144
Corn,Beginning stocks,Million bushels,2004,2012/2013,1194
Corn,Beginning stocks,Million bushels,2004,2013/2014,1244
Corn,Beginning stocks,Million bushels,2005,2003/2004,1087
Corn,Beginning stocks,Million bushels,2005,2004/2005,958
Corn,Beginning stocks,Million bushels,2005,2005/2006,1819
Corn,Beginning stocks,Million bushels,2005,2006/2007,1724
Corn,Beginning stocks,Million bushels,2005,2007/2008,1549
Corn,Beginning stocks,Million bushels,2005,2008/2009,1394
Corn,Beginning stocks,Million bushels,2005,2009/2010,1264
Corn,Beginning stocks,Million bushels,2005,2010/2011,1159
Corn,Beginning stocks,Million bushels,2005,2011/2012,1109
Corn,Beginning stocks,Million bushels,2005,2012/2013,1109
Corn,Beginning stocks,Million bushels,2005,2013/2014,1164
Corn,Beginning stocks,Million bushels,2005,2014/2015,1194
Corn,Beginning stocks,Million bushels,2006,2004/2005,958
Corn,Beginning stocks,Million bushels,2006,2005/2006,2112
Corn,Beginning stocks,Million bushels,2006,2006/2007,2319
Corn,Beginning stocks,Million bushels,2006,2007/2008,1894
Corn,Beginning stocks,Million bushels,2006,2008/2009,1494
Corn,Beginning stocks,Million bushels,2006,2009/2010,1164
Corn,Beginning stocks,Million bushels,2006,2010/2011,1064
Corn,Beginning stocks,Million bushels,2006,2011/2012,1019
Corn,Beginning stocks,Million bushels,2006,2012/2013,1039
Corn,Beginning stocks,Million bushels,2006,2013/2014,1084
Corn,Beginning stocks,Million bushels,2006,2014/2015,1129
Corn,Beginning stocks,Million bushels,2006,2015/2016,1114
Corn,Beginning stocks,Million bushels,2007,2005/2006,2114
Corn,Beginning stocks,Million bushels,2007,2006/2007,1971
Corn,Beginning stocks,Million bushels,2007,2007/2008,935
Corn,Beginning stocks,Million bushels,2007,2008/2009,660
Corn,Beginning stocks,Million bushels,2007,2009/2010,620
Corn,Beginning stocks,Million bushels,2007,2010/2011,580
Corn,Beginning stocks,Million bushels,2007,2011/2012,640
Corn,Beginning stocks,Million bushels,2007,2012/2013,670
Corn,Beginning stocks,Million bushels,2007,2013/2014,700
Corn,Beginning stocks,Million bushels,2007,2014/2015,725
