Commodity2,Attribute,Description,YearProjected2,Year2,Value
Soybeans,Beginning stocks,Million bushels,2000,1998/1999,200
Soybeans,Beginning stocks,Million bushels,2000,1999/2000,348
Soybeans,Beginning stocks,Million bushels,2000,2000/2001,395
Soybeans,Beginning stocks,Million bushels,2000,2001/2002,540
Soybeans,Beginning stocks,Million bushels,2000,2002/2003,605
Soybeans,Beginning stocks,Million bushels,2000,2003/2004,595
Soybeans,Beginning stocks,Million bushels,2000,2004/2005,520
Soybeans,Beginning stocks,Million bushels,2000,2005/2006,415
Soybeans,Beginning stocks,Million bushels,2000,2006/2007,320
Soybeans,Beginning stocks,Million bushels,2000,2007/2008,260
Soybeans,Beginning stocks,Million bushels,2000,2008/2009,245
Soybeans,Beginning stocks,Million bushels,2000,2009/2010,265
Soybeans,Beginning stocks,Million bushels,2001,1999/2000,348
Soybeans,Beginning stocks,Million bushels,2001,2000/2001,288
Soybeans,Beginning stocks,Million bushels,2001,2001/2002,365
Soybeans,Beginning stocks,Million bushels,2001,2002/2003,460
Soybeans,Beginning stocks,Million bushels,2001,2003/2004,455
Soybeans,Beginning stocks,Million bushels,2001,2004/2005,380
Soybeans,Beginning stocks,Million bushels,2001,2005/2006,310
Soybeans,Beginning stocks,Million bushels,2001,2006/2007,270
Soybeans,Beginning stocks,Million bushels,2001,2007/2008,255
Soybeans,Beginning stocks,Million bushels,2001,2008/2009,240
Soybeans,Beginning stocks,Million bushels,2001,2009/2010,230
Soybeans,Beginning stocks,Million bushels,2001,2010/2011,225
Soybeans,Beginning stocks,Million bushels,2002,2000/2001,290
Soybeans,Beginning stocks,Million bushels,2002,2001/2002,248
Soybeans,Beginning stocks,Million bushels,2002,2002/2003,345
Soybeans,Beginning stocks,Million bushels,2002,2003/2004,415
Soybeans,Beginning stocks,Million bushels,2002,2004/2005,410
Soybeans,Beginning stocks,Million bushels,2002,2005/2006,375
Soybeans,Beginning stocks,Million bushels,2002,2006/2007,320
Soybeans,Beginning stocks,Million bushels,2002,2007/2008,275
Soybeans,Beginning stocks,Million bushels,2002,2008/2009,255
Soybeans,Beginning stocks,Million bushels,2002,2009/2010,240
Soybeans,Beginning stocks,Million bushels,2002,2010/2011,230
Soybeans,Beginning stocks,Million bushels,2002,2011/2012,225
Soybeans,Beginning stocks,Million bushels,2003,2001/2002,248
Soybeans,Beginning stocks,Million bushels,2003,2002/2003,208
Soybeans,Beginning stocks,Million bushels,2003,2003/2004,185
Soybeans,Beginning stocks,Million bushels,2003,2004/2005,190
Soybeans,Beginning stocks,Million bushels,2003,2005/2006,205
Soybeans,Beginning stocks,Million bushels,2003,2006/2007,210
Soybeans,Beginning stocks,Million bushels,2003,2007/2008,210
Soybeans,Beginning stocks,Million bushels,2003,2008/2009,210
Soybeans,Beginning stocks,Million bushels,2003,2009/2010,200
Soybeans,Beginning stocks,Million bushels,2003,2010/2011,200
Soybeans,Beginning stocks,Million bushels,2003,2011/2012,200
Soybeans,Beginning stocks,Million bushels,2003,2012/2013,200
Soybeans,Beginning stocks,Million bushels,2004,2002/2003,208
Soybeans,Beginning stocks,Million bushels,2004,2003/2004,169
Soybeans,Beginning stocks,Million bushels,2004,2004/2005,125
Soybeans,Beginning stocks,Million bushels,2004,2005/2006,186
Soybeans,Beginning stocks,Million bushels,2004,2006/2007,203
Soybeans,Beginning stocks,Million bushels,2004,2007/2008,210
Soybeans,Beginning stocks,Million bushels,2004,2008/2009,210
Soybeans,Beginning stocks,Million bushels,2004,2009/2010,205
Soybeans,Beginning stocks,Million bushels,2004,2010/2011,211
Soybeans,Beginning stocks,Million bushels,2004,2011/2012,211
Soybeans,Beginning stocks,Million bushels,2004,2012/2013,214
Soybeans,Beginning stocks,Million bushels,2004,2013/2014,216
Soybeans,Beginning stocks,Million bushels,2005,2003/2004,178
Soybeans,Beginning stocks,Million bushels,2005,2004/2005,112
Soybeans,Beginning stocks,Million bushels,2005,2005/2006,460
Soybeans,Beginning stocks,Million bushels,2005,2006/2007,400
Soybeans,Beginning stocks,Million bushels,2005,2007/2008,330
Soybeans,Beginning stocks,Million bushels,2005,2008/2009,255
Soybeans,Beginning stocks,Million bushels,2005,2009/2010,230
Soybeans,Beginning stocks,Million bushels,2005,2010/2011,210
Soybeans,Beginning stocks,Million bushels,2005,2011/2012,209
Soybeans,Beginning stocks,Million bushels,2005,2012/2013,210
Soybeans,Beginning stocks,Million bushels,2005,2013/2014,207
Soybeans,Beginning stocks,Million bushels,2005,2014/2015,209
Soybeans,Beginning stocks,Million bushels,2006,2004/2005,112
Soybeans,Beginning stocks,Million bushels,2006,2005/2006,256
Soybeans,Beginning stocks,Million bushels,2006,2006/2007,350
Soybeans,Beginning stocks,Million bushels,2006,2007/2008,320
Soybeans,Beginning stocks,Million bushels,2006,2008/2009,305
Soybeans,Beginning stocks,Million bushels,2006,2009/2010,286
Soybeans,Beginning stocks,Million bushels,2006,2010/2011,259
Soybeans,Beginning stocks,Million bushels,2006,2011/2012,242
Soybeans,Beginning stocks,Million bushels,2006,2012/2013,240
Soybeans,Beginning stocks,Million bushels,2006,2013/2014,245
Soybeans,Beginning stocks,Million bushels,2006,2014/2015,245
Soybeans,Beginning stocks,Million bushels,2006,2015/2016,245
Soybeans,Beginning stocks,Million bushels,2007,2005/2006,256
Soybeans,Beginning stocks,Million bushels,2007,2006/2007,449
Soybeans,Beginning stocks,Million bushels,2007,2007/2008,565
Soybeans,Beginning stocks,Million bushels,2007,2008/2009,355
Soybeans,Beginning stocks,Million bushels,2007,2009/2010,237
Soybeans,Beginning stocks,Million bushels,2007,2010/2011,235
Soybeans,Beginning stocks,Million bushels,2007,2011/2012,237
Soybeans,Beginning stocks,Million bushels,2007,2012/2013,234
Soybeans,Beginning stocks,Million bushels,2007,2013/2014,232
Soybeans,Beginning stocks,Million bushels,2007,2014/2015,235
Soybeans,Beginning stocks,Million bushels,2007,2015/2016,233
Soybeans,Beginning stocks,Million bushels,2007,2016/2017,229
Soybeans,Beginning stocks,Million bushels,2008,2006/2007,449
Soybeans,Beginning stocks,Million bushels,2008,2007/2008,573
Soybeans,Beginning stocks,Million bushels,2008,2008/2009,210
Soybeans,Beginning stocks,Million bushels,2008,2009/2010,219
Soybeans,Beginning stocks,Million bushels,2008,2010/2011,210
Soybeans,Beginning stocks,Million bushels,2008,2011/2012,202
Soybeans,Beginning stocks,Million bushels,2008,2012/2013,193
Soybeans,Beginning stocks,Million bushels,2008,2013/2014,199
Soybeans,Beginning stocks,Million bushels,2008,2014/2015,204
Soybeans,Beginning stocks,Million bushels,2008,2015/2016,204
Soybeans,Beginning stocks,Million bushels,2008,2016/2017,203
Soybeans,Beginning stocks,Million bushels,2008,2017/2018,201
Soybeans,Beginning stocks,Million bushels,2009,2007/2008,574
Soybeans,Beginning stocks,Million bushels,2009,2008/2009,205
Soybeans,Beginning stocks,Million bushels,2009,2009/2010,205
Soybeans,Beginning stocks,Million bushels,2009,2010/2011,257
Soybeans,Beginning stocks,Million bushels,2009,2011/2012,261
Soybeans,Beginning stocks,Million bushels,2009,2012/2013,246
Soybeans,Beginning stocks,Million bushels,2009,2013/2014,235
Soybeans,Beginning stocks,Million bushels,2009,2014/2015,235
Soybeans,Beginning stocks,Million bushels,2009,2015/2016,229
Soybeans,Beginning stocks,Million bushels,2009,2016/2017,232
Soybeans,Beginning stocks,Million bushels,2009,2017/2018,235
Soybeans,Beginning stocks,Million bushels,2009,2018/2019,237
Soybeans,Beginning stocks,Million bushels,2010,2008/2009,205
Soybeans,Beginning stocks,Million bushels,2010,2009/2010,138
Soybeans,Beginning stocks,Million bushels,2010,2010/2011,270
Soybeans,Beginning stocks,Million bushels,2010,2011/2012,354
Soybeans,Beginning stocks,Million bushels,2010,2012/2013,299
Soybeans,Beginning stocks,Million bushels,2010,2013/2014,271
Soybeans,Beginning stocks,Million bushels,2010,2014/2015,260
