Commodity2,Attribute,Description,YearProjected2,Year2,Value
Wheat,Beginning stocks,Million bushels,2000,1998/1999,722
Wheat,Beginning stocks,Million bushels,2000,1999/2000,946
Wheat,Beginning stocks,Million bushels,2000,2000/2001,1002
Wheat,Beginning stocks,Million bushels,2000,2001/2002,1007
Wheat,Beginning stocks,Million bushels,2000,2002/2003,1002
Wheat,Beginning stocks,Million bushels,2000,2003/2004,923
Wheat,Beginning stocks,Million bushels,2000,2004/2005,815
Wheat,Beginning stocks,Million bushels,2000,2005/2006,718
Wheat,Beginning stocks,Million bushels,2000,2006/2007,639
Wheat,Beginning stocks,Million bushels,2000,2007/2008,550
Wheat,Beginning stocks,Million bushels,2000,2008/2009,507
Wheat,Beginning stocks,Million bushels,2000,2009/2010,478
Wheat,Beginning stocks,Million bushels,2001,1999/2000,946
Wheat,Beginning stocks,Million bushels,2001,2000/2001,950
Wheat,Beginning stocks,Million bushels,2001,2001/2002,888
Wheat,Beginning stocks,Million bushels,2001,2002/2003,775
Wheat,Beginning stocks,Million bushels,2001,2003/2004,675
Wheat,Beginning stocks,Million bushels,2001,2004/2005,638
Wheat,Beginning stocks,Million bushels,2001,2005/2006,625
Wheat,Beginning stocks,Million bushels,2001,2006/2007,637
Wheat,Beginning stocks,Million bushels,2001,2007/2008,639
Wheat,Beginning stocks,Million bushels,2001,2008/2009,625
Wheat,Beginning stocks,Million bushels,2001,2009/2010,616
Wheat,Beginning stocks,Million bushels,2001,2010/2011,591
Wheat,Beginning stocks,Million bushels,2002,2000/2001,950
Wheat,Beginning stocks,Million bushels,2002,2001/2002,876
Wheat,Beginning stocks,Million bushels,2002,2002/2003,652
Wheat,Beginning stocks,Million bushels,2002,2003/2004,674
Wheat,Beginning stocks,Million bushels,2002,2004/2005,691
Wheat,Beginning stocks,Million bushels,2002,2005/2006,677
Wheat,Beginning stocks,Million bushels,2002,2006/2007,672
Wheat,Beginning stocks,Million bushels,2002,2007/2008,672
Wheat,Beginning stocks,Million bushels,2002,2008/2009,656
Wheat,Beginning stocks,Million bushels,2002,2009/2010,639
Wheat,Beginning stocks,Million bushels,2002,2010/2011,627
Wheat,Beginning stocks,Million bushels,2002,2011/2012,620
Wheat,Beginning stocks,Million bushels,2003,2001/2002,876
Wheat,Beginning stocks,Million bushels,2003,2002/2003,777
Wheat,Beginning stocks,Million bushels,2003,2003/2004,358
Wheat,Beginning stocks,Million bushels,2003,2004/2005,534
Wheat,Beginning stocks,Million bushels,2003,2005/2006,656
Wheat,Beginning stocks,Million bushels,2003,2006/2007,713
Wheat,Beginning stocks,Million bushels,2003,2007/2008,710
Wheat,Beginning stocks,Million bushels,2003,2008/2009,692
Wheat,Beginning stocks,Million bushels,2003,2009/2010,659
Wheat,Beginning stocks,Million bushels,2003,2010/2011,611
Wheat,Beginning stocks,Million bushels,2003,2011/2012,578
Wheat,Beginning stocks,Million bushels,2003,2012/2013,574
Wheat,Beginning stocks,Million bushels,2004,2002/2003,777
Wheat,Beginning stocks,Million bushels,2004,2003/2004,491
Wheat,Beginning stocks,Million bushels,2004,2004/2005,608
Wheat,Beginning stocks,Million bushels,2004,2005/2006,735
Wheat,Beginning stocks,Million bushels,2004,2006/2007,789
Wheat,Beginning stocks,Million bushels,2004,2007/2008,842
Wheat,Beginning stocks,Million bushels,2004,2008/2009,852
Wheat,Beginning stocks,Million bushels,2004,2009/2010,840
Wheat,Beginning stocks,Million bushels,2004,2010/2011,830
Wheat,Beginning stocks,Million bushels,2004,2011/2012,813
Wheat,Beginning stocks,Million bushels,2004,2012/2013,793
Wheat,Beginning stocks,Million bushels,2004,2013/2014,766
Wheat,Beginning stocks,Million bushels,2005,2003/2004,491
Wheat,Beginning stocks,Million bushels,2005,2004/2005,547
Wheat,Beginning stocks,Million bushels,2005,2005/2006,568
Wheat,Beginning stocks,Million bushels,2005,2006/2007,638
Wheat,Beginning stocks,Million bushels,2005,2007/2008,648
Wheat,Beginning stocks,Million bushels,2005,2008/2009,647
Wheat,Beginning stocks,Million bushels,2005,2009/2010,626
Wheat,Beginning stocks,Million bushels,2005,2010/2011,609
Wheat,Beginning stocks,Million bushels,2005,2011/2012,597
Wheat,Beginning stocks,Million bushels,2005,2012/2013,569
Wheat,Beginning stocks,Million bushels,2005,2013/2014,571
Wheat,Beginning stocks,Million bushels,2005,2014/2015,557
Wheat,Beginning stocks,Million bushels,2006,2004/2005,546
Wheat,Beginning stocks,Million bushels,2006,2005/2006,540
Wheat,Beginning stocks,Million bushels,2006,2006/2007,530
Wheat,Beginning stocks,Million bushels,2006,2007/2008,571
Wheat,Beginning stocks,Million bushels,2006,2008/2009,633
Wheat,Beginning stocks,Million bushels,2006,2009/2010,660
Wheat,Beginning stocks,Million bushels,2006,2010/2011,651
Wheat,Beginning stocks,Million bushels,2006,2011/2012,637
Wheat,Beginning stocks,Million bushels,2006,2012/2013,613
Wheat,Beginning stocks,Million bushels,2006,2013/2014,604
Wheat,Beginning stocks,Million bushels,2006,2014/2015,584
Wheat,Beginning stocks,Million bushels,2006,2015/2016,579
Wheat,Beginning stocks,Million bushels,2007,2005/2006,540
Wheat,Beginning stocks,Million bushels,2007,2006/2007,571
Wheat,Beginning stocks,Million bushels,2007,2007/2008,418
Wheat,Beginning stocks,Million bushels,2007,2008/2009,493
Wheat,Beginning stocks,Million bushels,2007,2009/2010,517
Wheat,Beginning stocks,Million bushels,2007,2010/2011,517
Wheat,Beginning stocks,Million bushels,2007,2011/2012,482
Wheat,Beginning stocks,Million bushels,2007,2012/2013,462
Wheat,Beginning stocks,Million bushels,2007,2013/2014,442
Wheat,Beginning stocks,Million bushels,2007,2014/2015,427
Wheat,Beginning stocks,Million bushels,2007,2015/2016,422
Wheat,Beginning stocks,Million bushels,2007,2016/2017,422
Wheat,Beginning stocks,Million bushels,2008,2006/2007,571
Wheat,Beginning stocks,Million bushels,2008,2007/2008,456
Wheat,Beginning stocks,Million bushels,2008,2008/2009,312
Wheat,Beginning stocks,Million bushels,2008,2009/2010,606
Wheat,Beginning stocks,Million bushels,2008,2010/2011,703
Wheat,Beginning stocks,Million bushels,2008,2011/2012,742
Wheat,Beginning stocks,Million bushels,2008,2012/2013,749
Wheat,Beginning stocks,Million bushels,2008,2013/2014,732
Wheat,Beginning stocks,Million bushels,2008,2014/2015,716
Wheat,Beginning stocks,Million bushels,2008,2015/2016,696
Wheat,Beginning stocks,Million bushels,2008,2016/2017,683
Wheat,Beginning stocks,Million bushels,2008,2017/2018,661
Wheat,Beginning stocks,Million bushels,2009,2007/2008,456
Wheat,Beginning stocks,Million bushels,2009,2008/2009,306
Wheat,Beginning stocks,Million bushels,2009,2009/2010,603
Wheat,Beginning stocks,Million bushels,2009,2010/2011,616
Wheat,Beginning stocks,Million bushels,2009,2011/2012,620
Wheat,Beginning stocks,Million bushels,2009,2012/2013,640
Wheat,Beginning stocks,Million bushels,2009,2013/2014,647
Wheat,Beginning stocks,Million bushels,2009,2014/2015,645
Wheat,Beginning stocks,Million bushels,2009,2015/2016,640
Wheat,Beginning stocks,Million bushels,2009,2016/2017,621
Wheat,Beginning stocks,Million bushels,2009,2017/2018,613
Wheat,Beginning stocks,Million bushels,2009,2018/2019,611
Wheat,Beginning stocks,Million bushels,2010,2008/2009,306
Wheat,Beginning stocks,Million bushels,2010,2009/2010,657
Wheat,Beginning stocks,Million bushels,2010,2010/2011,885
Wheat,Beginning stocks,Million bushels,2010,2011/2012,874
Wheat,Beginning stocks,Million bushels,2010,2012/2013,895
Wheat,Beginning stocks,Million bushels,2010,2013/2014,873
Wheat,Beginning stocks,Million bushels,2010,2014/2015,811
Wheat,Beginning stocks,Million bushels,2010,2015/2016,775
Wheat,Beginning stocks,Million bushels,2010,2016/2017,750
Wheat,Beginning stocks,Million bushels,2010,2017/2018,736
Wheat,Beginning stocks,Million bushels,2010,2018/2019,728
Wheat,Beginning stocks,Million bushels,2010,2019/2020,727
Wheat,Beginning stocks,Million bushels,2011,2009/2010,657
Wheat,Beginning stocks,Million bushels,2011,2010/2011,976
Wheat,Beginning stocks,Million bushels,2011,2011/2012,848
Wheat,Beginning stocks,Million bushels,2011,2012/2013,718
Wheat,Beginning stocks,Million bushels,2011,2013/2014,706
Wheat,Beginning stocks,Million bushels,2011,2014/2015,746
Wheat,Beginning stocks,Million bushels,2011,2015/2016,759
Wheat,Beginning stocks,Million bushels,2011,2016/2017,743
Wheat,Beginning stocks,Million bushels,2011,2017/2018,718
Wheat,Beginning stocks,Million bushels,2011,2018/2019,694
Wheat,Beginning stocks,Million bushels,2011,2019/2020,682
Wheat,Beginning stocks,Million bushels,2011,2020/2021,661
Wheat,Beginning stocks,Million bushels,2012,2010/2011,976
Wheat,Beginning stocks,Million bushels,2012,2011/2012,862
Wheat,Beginning stocks,Million bushels,2012,2012/2013,828
Wheat,Beginning stocks,Million bushels,2012,2013/2014,887
Wheat,Beginning stocks,Million bushels,2012,2014/2015,891
Wheat,Beginning stocks,Million bushels,2012,2015/2016,822
Wheat,Beginning stocks,Million bushels,2012,2016/2017,760
Wheat,Beginning stocks,Million bushels,2012,2017/2018,730
Wheat,Beginning stocks,Million bushels,2012,2018/2019,707
Wheat,Beginning stocks,Million bushels,2012,2019/2020,701
Wheat,Beginning stocks,Million bushels,2012,2020/2021,697
Wheat,Beginning stocks,Million bushels,2012,2021/2022,726
Wheat,Beginning stocks,Million bushels,2013,2011/2012,862
Wheat,Beginning stocks,Million bushels,2013,2012/2013,743
Wheat,Beginning stocks,Million bushels,2013,2013/2014,704
Wheat,Beginning stocks,Million bushels,2013,2014/2015,733
Wheat,Beginning stocks,Million bushels,2013,2015/2016,804
Wheat,Beginning stocks,Million bushels,2013,2016/2017,778
Wheat,Beginning stocks,Million bushels,2013,2017/2018,765
Wheat,Beginning stocks,Million bushels,2013,2018/2019,761
Wheat,Beginning stocks,Million bushels,2013,2019/2020,745
Wheat,Beginning stocks,Million bushels,2013,2020/2021,737
Wheat,Beginning stocks,Million bushels,2013,2021/2022,737
Wheat,Beginning stocks,Million bushels,2013,2022/2023,745
Wheat,Beginning stocks,Million bushels,2014,2012/2013,743
Wheat,Beginning stocks,Million bushels,2014,2013/2014,718
Wheat,Beginning stocks,Million bushels,2014,2014/2015,565
Wheat,Beginning stocks,Million bushels,2014,2015/2016,642
Wheat,Beginning stocks,Million bushels,2014,2016/2017,745
Wheat,Beginning stocks,Million bushels,2014,2017/2018,794
Wheat,Beginning stocks,Million bushels,2014,2018/2019,770
Wheat,Beginning stocks,Million bushels,2014,2019/2020,758
Wheat,Beginning stocks,Million bushels,2014,2020/2021,753
Wheat,Beginning stocks,Million bushels,2014,2021/2022,745
Wheat,Beginning stocks,Million bushels,2014,2022/2023,739
Wheat,Beginning stocks,Million bushels,2014,2023/2024,725
Wheat,Beginning stocks,Million bushels,2015,2013/2014,718
Wheat,Beginning stocks,Million bushels,2015,2014/2015,590
Wheat,Beginning stocks,Million bushels,2015,2015/2016,644
Wheat,Beginning stocks,Million bushels,2015,2016/2017,700
Wheat,Beginning stocks,Million bushels,2015,2017/2018,680
Wheat,Beginning stocks,Million bushels,2015,2018/2019,663
Wheat,Beginning stocks,Million bushels,2015,2019/2020,654
Wheat,Beginning stocks,Million bushels,2015,2020/2021,653
Wheat,Beginning stocks,Million bushels,2015,2021/2022,666
Wheat,Beginning stocks,Million bushels,2015,2022/2023,662
Wheat,Beginning stocks,Million bushels,2015,2023/2024,661
Wheat,Beginning stocks,Million bushels,2015,2024/2025,663
Wheat,Cropping history,Million acres,2000,1998/1999,7.622
Wheat,Cropping history,Million acres,2000,1999/2000,7.531
Wheat,Cropping history,Million acres,2000,2000/2001,8.003
Wheat,Cropping history,Million acres,2000,2001/2002,8.541
Wheat,Cropping history,Million acres,2000,2002/2003,8.793
Wheat,Cropping history,Million acres,2000,2003/2004,8.931
Wheat,Cropping history,Million acres,2000,2004/2005,8.931
Wheat,Cropping history,Million acres,2000,2005/2006,8.931
Wheat,Cropping history,Million acres,2000,2006/2007,8.931
Wheat,Cropping history,Million acres,2000,2007/2008,8.931
Wheat,Cropping history,Million acres,2000,2008/2009,8.931
Wheat,Cropping history,Million acres,2000,2009/2010,8.931
Wheat,Cropping history,Million acres,2001,1999/2000,7.399
Wheat,Cropping history,Million acres,2001,2000/2001,7.731
Wheat,Cropping history,Million acres,2001,2001/2002,8.313
Wheat,Cropping history,Million acres,2001,2002/2003,8.535
Wheat,Cropping history,Million acres,2001,2003/2004,8.921
Wheat,Cropping history,Million acres,2001,2004/2005,8.921
Wheat,Cropping history,Million acres,2001,2005/2006,8.921
Wheat,Cropping history,Million acres,2001,2006/2007,8.921
Wheat,Cropping history,Million acres,2001,2007/2008,8.921
Wheat,Cropping history,Million acres,2001,2008/2009,8.921
Wheat,Cropping history,Million acres,2001,2009/2010,8.921
Wheat,Cropping history,Million acres,2001,2010/2011,8.921
Wheat,Cropping history,Million acres,2002,2000,6.957
Wheat,Cropping history,Million acres,2002,2001,7.248
Wheat,Cropping history,Million acres,2002,2002,7.366
Wheat,Cropping history,Million acres,2002,2003,7.512
Wheat,Cropping history,Million acres,2002,2004,7.741
Wheat,Cropping history,Million acres,2002,2005,7.839
Wheat,Cropping history,Million acres,2002,2006,7.839
Wheat,Cropping history,Million acres,2002,2007,7.839
Wheat,Cropping history,Million acres,2002,2008,7.839
Wheat,Cropping history,Million acres,2002,2009,7.839
Wheat,Cropping history,Million acres,2002,2010,7.839
Wheat,Cropping history,Million acres,2002,2011,7.839
Wheat,Cropping history,Million acres,2003,2001,7.234
Wheat,Cropping history,Million acres,2003,2002,7.323
Wheat,Cropping history,Million acres,2003,2003,7.404
Wheat,Cropping history,Million acres,2003,2004,7.682
Wheat,Cropping history,Million acres,2003,2005,8.339
Wheat,Cropping history,Million acres,2003,2006,8.442
Wheat,Cropping history,Million acres,2003,2007,8.442
Wheat,Cropping history,Million acres,2003,2008,8.442
Wheat,Cropping history,Million acres,2003,2009,8.442
Wheat,Cropping history,Million acres,2003,2010,8.442
Wheat,Cropping history,Million acres,2003,2011,8.442
Wheat,Cropping history,Million acres,2003,2012,8.442
Wheat,Cropping history,Million acres,2004,2002,7.987
Wheat,Cropping history,Million acres,2004,2003,8.692
Wheat,Cropping history,Million acres,2004,2004,8.853
Wheat,Cropping history,Million acres,2004,2005,9.24
Wheat,Cropping history,Million acres,2004,2006,9.35
Wheat,Cropping history,Million acres,2004,2007,9.961
Wheat,Cropping history,Million acres,2004,2008,9.987
Wheat,Cropping history,Million acres,2004,2009,9.987
Wheat,Cropping history,Million acres,2004,2010,9.987
Wheat,Cropping history,Million acres,2004,2011,9.987
Wheat,Cropping history,Million acres,2004,2012,9.987
Wheat,Cropping history,Million acres,2004,2013,9.987
Wheat,Cropping history,Million acres,2005,2003,8.691
Wheat,Cropping history,Million acres,2005,2004,8.842
Wheat,Cropping history,Million acres,2005,2005,8.433
Wheat,Cropping history,Million acres,2005,2006,8.907
Wheat,Cropping history,Million acres,2005,2007,9.361
Wheat,Cropping history,Million acres,2005,2008,9.386
Wheat,Cropping history,Million acres,2005,2009,9.386
Wheat,Cropping history,Million acres,2005,2010,9.386
Wheat,Cropping history,Million acres,2005,2011,9.386
Wheat,Cropping history,Million acres,2005,2012,9.386
Wheat,Cropping history,Million acres,2005,2013,9.386
Wheat,Cropping history,Million acres,2005,2014,9.386
Wheat,Cropping history,Million acres,2006,2004,8.843
Wheat,Cropping history,Million acres,2006,2005,8.39
Wheat,Cropping history,Million acres,2006,2006,8.683
